Sample	Unique Reads	Duplicate Reads
TS047_RoL_RNA_651_2	6752957.0	20638687.0
TS047_RoL_RNA_652_1	6447383.0	15223735.0
TS047_RoL_RNA_652_2	6434940.0	15236178.0
TS047_RoL_RNA_655_1	6268580.0	21699831.0
TS047_RoL_RNA_655_2	6367731.0	21600680.0
TS047_RoL_RNA_676_1	6489660.0	18243399.0
TS047_RoL_RNA_676_2	6548419.0	18184640.0
TS047_RoL_RNA_677_1	6731131.0	17214189.0
TS047_RoL_RNA_677_2	6828751.0	17116569.0
TS047_RoL_RNA_678_1	6525708.0	17408779.0
TS047_RoL_RNA_678_2	6538576.0	17395911.0
TS047_RoL_RNA_679_1	6792264.0	19243620.0
TS047_RoL_RNA_679_2	6767260.0	19268624.0
TS047_RoL_RNA_683_1	5519767.0	14657420.0
TS047_RoL_RNA_683_2	5559789.0	14617398.0
TS047_RoL_RNA_707_1	7788084.0	18718029.0
TS047_RoL_RNA_707_2	7744076.0	18762037.0
TS047_RoL_RNA_708_1	8407199.0	25298607.0
TS047_RoL_RNA_708_2	8500778.0	25205028.0
TS047_RoL_RNA_710_1	6720237.0	19756559.0
TS047_RoL_RNA_710_2	6843792.0	19633004.0
TS047_RoL_RNA_79_1	5865259.0	18887155.0
TS047_RoL_RNA_79_2	5823737.0	18928677.0
TS047_RoL_RNA_85_1	4506919.0	22629572.0
TS047_RoL_RNA_85_2	4505786.0	22630705.0
