.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
TS047_RoL_RNA_377_1	1	1	0.25	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_377_2	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.5	1
TS047_RoL_RNA_381_1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_381_2	1	1	0.5	1	0.25	0.25	1	0.5	0.25	1	1
TS047_RoL_RNA_407_1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_407_2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_412_1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_412_2	1	1	0.25	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_439_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	1	1
TS047_RoL_RNA_439_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	1	1
TS047_RoL_RNA_442_1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_442_2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_468_1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_468_2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_469_1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_469_2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_46_1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	0.5	1
TS047_RoL_RNA_46_2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	0.5	1
TS047_RoL_RNA_477_1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_477_2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_478_1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_478_2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_498_1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_498_2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_500_1	1	1	0.25	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_500_2	1	1	0.25	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_502_1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_502_2	1	1	0.25	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_506_1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_506_2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_51_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	1	1
TS047_RoL_RNA_51_2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_526_1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_526_2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_528_1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_528_2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_530_1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_530_2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_532_1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_532_2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_559_1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_559_2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_561_1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_561_2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_562_1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_562_2	1	1	0.5	1	0.5	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_586_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	1	1
TS047_RoL_RNA_586_2	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.5	1
TS047_RoL_RNA_616_1	1	1	0.25	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_616_2	1	1	0.25	1	0.25	0.5	1	0.5	0.25	1	1
TS047_RoL_RNA_618_1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
