Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
TS047_RoL_RNA_136_1	(1, 0.0018415404151525883)	(2, 0.014650952930783733)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.1276594359652929)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.2697077047300436)	(30, 0.0)	(32, 0.0)	(34, 0.1266979903496833)	(36, 0.0)	(38, 0.0)	(40, 0.0001499189206351722)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 4.287389368740653e-06)	(64, 0.13374552308883628)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.13463634156880908)	(76, 0.0)	(78, 0.1314432428772483)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.35454874147108245)
TS047_RoL_RNA_136_2	(1, 0.0009164875554480324)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.00011778158176595493)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 2.7843298771232392e-05)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.1350219494268759)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 1.5021729683073049e-05)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 1.722328928871798e-05)	(76, 0.27144942483476875)	(78, 1.9440731204782073e-05)	(80, 0.0)	(82, 0.0)	(84, 4.79147469459957e-05)	(86, 3.717305640893231e-05)	(88, 0.0)	(90, 0.13606603632305142)	(92, 3.553971589906507e-05)	(94, 2.6833672287337113e-05)	(96, 0.00013981927907150076)	(98, 0.0)	(100, 3.0009382133230134e-06)
TS047_RoL_RNA_142_1	(1, 0.0016946134117354118)	(2, 0.014358413637271663)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.12867230168881966)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.2688008955220633)	(30, 0.0)	(32, 0.0)	(34, 0.1310254066416781)	(36, 0.0)	(38, 0.0)	(40, 0.0002462263991042093)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 1.9104996264113504e-06)	(64, 0.13366779137489782)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.1316356462442809)	(76, 0.0)	(78, 0.13067823009238988)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.34834780763880735)
TS047_RoL_RNA_142_2	(1, 0.0008358566152478719)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.00021375257338059048)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 3.054075362936295e-05)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.13262543475124913)	(60, 0.0)	(62, 1.9111137187196072e-06)	(64, 0.0)	(66, 1.9123482814586552e-05)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 1.918140330724605e-05)	(76, 0.26708928175226243)	(78, 1.1544855390199661e-05)	(80, 0.0)	(82, 1.9332777889736043e-06)	(84, 5.624464512189029e-05)	(86, 2.141529811555111e-05)	(88, 1.9553815943802177e-06)	(90, 0.13331523044561422)	(92, 2.7669152746628848e-05)	(94, 1.591284439646987e-05)	(96, 9.226200194263662e-05)	(98, 0.0)	(100, 5.325802222925938e-06)
TS047_RoL_RNA_145_1	(1, 0.0018065084638713821)	(2, 0.014624444472790847)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.1273881507524418)	(20, 0.0)	(22, 0.0)	(24, 1.7237873186379658e-06)	(26, 0.0)	(28, 0.26544289479263045)	(30, 0.0)	(32, 0.0)	(34, 0.13138079961930083)	(36, 3.4479655451699e-06)	(38, 0.0)	(40, 0.0001655131634774033)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 3.106241483181989e-05)	(64, 0.1314617131181521)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.12789729942298203)	(76, 0.0)	(78, 0.12971254747206415)	(80, 1.3931861910449753e-05)	(82, 0.0)	(84, 3.50349449927715e-06)	(86, 1.7584715112404398e-05)	(88, 0.0)	(90, 1.4201318386493068e-05)	(92, 4.106149608882108e-05)	(94, 5.390351077518603e-06)	(96, 7.244238448889743e-06)	(98, 0.0)	(100, 0.34737628841542534)
TS047_RoL_RNA_145_2	(1, 0.0009101493024084827)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 1.7237676181978836e-06)	(16, 2.413274665477037e-05)	(18, 0.0)	(20, 1.723783634056869e-06)	(22, 1.3790803712870501e-05)	(24, 0.00013274198216878678)	(26, 0.0)	(28, 1.2068484234413203e-05)	(30, 1.724133561247698e-05)	(32, 0.00014828155556938366)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 1.3796063179554194e-05)	(42, 6.89842607407761e-06)	(44, 1.552223927273135e-05)	(46, 0.0)	(48, 5.174652901101016e-06)	(50, 1.725006055202505e-06)	(52, 2.2426879187454154e-05)	(54, 5.348416281317587e-05)	(56, 1.552931086681473e-05)	(58, 0.13190787395456016)	(60, 1.0355894108911558e-05)	(62, 1.553722251534823e-05)	(64, 1.2088102859808555e-05)	(66, 0.00032650672271295644)	(68, 1.7283862448247364e-06)	(70, 6.572036717069808e-05)	(72, 6.0586057240633646e-05)	(74, 0.00013517488198366297)	(76, 0.26452412125165364)	(78, 7.12842667382152e-05)	(80, 2.090916936599687e-05)	(82, 0.00011356159166668967)	(84, 0.00026466714784673204)	(86, 0.00026921226748571946)	(88, 0.0002456719191499723)	(90, 0.13364220384238523)	(92, 0.0001572244959623856)	(94, 6.114262803783325e-05)	(96, 0.000496876388397755)	(98, 3.91134019892741e-05)	(100, 6.261582120697679e-05)
TS047_RoL_RNA_146_1	(1, 0.0017648577313939217)	(2, 0.014062886885789997)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.12682774725129994)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.2628718853492994)	(30, 0.0)	(32, 0.0)	(34, 0.13216051754839786)	(36, 0.0)	(38, 0.0)	(40, 0.00017620190696572248)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 2.9670311411676494e-05)	(64, 0.13048008354365823)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.1289473046164779)	(76, 0.0)	(78, 0.12850609786944533)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 1.700995795257464e-05)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.3447086796739539)
TS047_RoL_RNA_146_2	(1, 0.0009746229262921656)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.00012348520696614626)	(26, 0.0)	(28, 4.939867405725718e-06)	(30, 1.646700749420098e-06)	(32, 1.646775078371261e-05)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 3.295353071048273e-06)	(54, 2.8013094638697403e-05)	(56, 0.0)	(58, 0.1315720182746423)	(60, 0.0)	(62, 3.2976884539501636e-06)	(64, 0.0)	(66, 4.784629315628401e-05)	(68, 0.0)	(70, 0.0)	(72, 1.3223079079583117e-05)	(74, 5.129233350698822e-05)	(76, 0.26477699542922695)	(78, 1.161625039750394e-05)	(80, 1.6627997427249726e-06)	(82, 4.167225491605091e-05)	(84, 8.526768083043098e-05)	(86, 2.852611663302151e-05)	(88, 8.42521919513645e-06)	(90, 0.13363551359795106)	(92, 0.00012767282201741307)	(94, 5.138458328901413e-05)	(96, 0.0001415861408440568)	(98, 3.545702976745294e-06)	(100, 9.128908796198868e-06)
TS047_RoL_RNA_16_1	(1, 0.0017517402484102747)	(2, 0.01419542760338254)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.13743985146593432)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.28052584919950024)	(30, 0.0)	(32, 0.0)	(34, 0.12158243461516778)	(36, 0.0)	(38, 0.0)	(40, 0.000162547673438262)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 1.9020461853586697e-05)	(64, 0.14202761979607226)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.1398681714249139)	(76, 0.0)	(78, 0.1407718007851741)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 1.758901752299275e-05)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.36549540280406784)
TS047_RoL_RNA_16_2	(1, 0.00089486489798308)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.00010764623899871267)	(26, 0.0)	(28, 2.1108823712065177e-06)	(30, 2.1109587467997866e-06)	(32, 3.3776663298007445e-05)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 2.3236863382558514e-05)	(56, 0.0)	(58, 0.14550685002307526)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 5.712552362683094e-05)	(68, 0.0)	(70, 0.0)	(72, 1.0604343441513685e-05)	(74, 2.548490446282727e-05)	(76, 0.2939772499880758)	(78, 1.2791538346217824e-05)	(80, 0.0)	(82, 3.21611998237309e-05)	(84, 8.178687974875072e-05)	(86, 3.02677408687901e-05)	(88, 6.519136294409062e-06)	(90, 0.1410912795775886)	(92, 8.359515666381322e-05)	(94, 4.210418081219408e-05)	(96, 0.00012525388795337405)	(98, 4.595363113185723e-06)	(100, 1.185720498466226e-05)
