Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
TS047_RoL_RNA_136_1	(1, 0.0018403625051904644)	(2, 0.014654421436679417)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.12764625938616977)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.2696537661820293)	(30, 0.0)	(32, 0.0)	(34, 0.12670039865675792)	(36, 0.0)	(38, 0.0)	(40, 0.00014979694809689825)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 4.279912802768522e-06)	(64, 0.133762254781326)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.13463321703668937)	(76, 0.0)	(78, 0.1316137385543362)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.2712587334830675)
TS047_RoL_RNA_136_2	(1, 0.0009159013397924636)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.00011769760207613435)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 2.781943321799539e-05)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.13494993058409424)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 1.4979694809689826e-05)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 1.711965121107409e-05)	(76, 0.27128227300348273)	(78, 2.1399564013842608e-05)	(80, 0.0)	(82, 0.0)	(84, 4.9218997231837996e-05)	(86, 3.8519215224916694e-05)	(88, 0.0)	(90, 0.13575669414741612)	(92, 3.423930242214818e-05)	(94, 2.567947681661113e-05)	(96, 0.00013481725328720842)	(98, 0.0)	(100, 4.707904083045374e-05)
TS047_RoL_RNA_142_1	(1, 0.0016933969760735594)	(2, 0.014351920767938746)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.12864286780286738)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.26876383965864775)	(30, 0.0)	(32, 0.0)	(34, 0.13100752123792506)	(36, 0.0)	(38, 0.0)	(40, 0.00024600023638906437)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 1.9069785766594138e-06)	(64, 0.13364105865229173)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.13161966136103273)	(76, 0.0)	(78, 0.13084733503748566)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.2667824889174987)
TS047_RoL_RNA_142_2	(1, 0.0008352566165768232)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0002135816005858543)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 3.051165722655062e-05)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.13258459252082241)	(60, 0.0)	(62, 1.9069785766594138e-06)	(64, 0.0)	(66, 1.9069785766594135e-05)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 1.9069785766594135e-05)	(76, 0.2670189542610044)	(78, 1.1441871459956482e-05)	(80, 0.0)	(82, 1.9069785766594138e-06)	(84, 5.5302378723123e-05)	(86, 2.097676434325355e-05)	(88, 1.9069785766594138e-06)	(90, 0.1334255700731292)	(92, 3.051165722655062e-05)	(94, 1.7162807189934725e-05)	(96, 9.153497167965186e-05)	(98, 0.0)	(100, 3.051165722655062e-05)
TS047_RoL_RNA_145_1	(1, 0.001805166330919509)	(2, 0.014623914264796405)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.12734690570376064)	(20, 0.0)	(22, 0.0)	(24, 1.7224869569842645e-06)	(26, 0.0)	(28, 0.2654249051495332)	(30, 0.0)	(32, 0.0)	(34, 0.13139647253963063)	(36, 3.444973913968529e-06)	(38, 0.0)	(40, 0.00016535874787048936)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 3.100476522571676e-05)	(64, 0.1314877643483508)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.12791188142565146)	(76, 0.0)	(78, 0.12986001417400067)	(80, 1.3779895655874116e-05)	(82, 0.0)	(84, 3.444973913968529e-06)	(86, 1.7224869569842645e-05)	(88, 0.0)	(90, 1.3779895655874116e-05)	(92, 3.961720001063808e-05)	(94, 5.1674608709527924e-06)	(96, 6.889947827937058e-06)	(98, 0.0)	(100, 0.26564366099307024)
TS047_RoL_RNA_145_2	(1, 0.0009094731132876916)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 1.7224869569842645e-06)	(16, 2.41148173977797e-05)	(18, 0.0)	(20, 1.7224869569842645e-06)	(22, 1.3779895655874116e-05)	(24, 0.00013263149568778837)	(26, 0.0)	(28, 1.205740869888985e-05)	(30, 1.7224869569842645e-05)	(32, 0.00014813387830064673)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 1.3779895655874116e-05)	(42, 6.889947827937058e-06)	(44, 1.550238261285838e-05)	(46, 0.0)	(48, 5.1674608709527924e-06)	(50, 1.7224869569842645e-06)	(52, 2.2392330440795435e-05)	(54, 5.339709566651219e-05)	(56, 1.550238261285838e-05)	(58, 0.13189427127019906)	(60, 1.0334921741905585e-05)	(62, 1.8947356526826908e-05)	(64, 1.3779895655874116e-05)	(66, 0.00034621987835383713)	(68, 1.0334921741905585e-05)	(70, 9.473678263413454e-05)	(72, 7.578942610730763e-05)	(74, 0.000149856365257631)	(76, 0.26439485794925666)	(78, 0.00010334921741905587)	(80, 5.167460870952793e-05)	(82, 0.00013607646960175687)	(84, 0.000299712730515262)	(86, 0.0003117701392141518)	(88, 0.00027904288703145086)	(90, 0.13366326537502193)	(92, 0.0002187558435370016)	(94, 9.64592695911188e-05)	(96, 0.0005925355132025869)	(98, 0.00011885160003191424)	(100, 0.0005856455653746499)
TS047_RoL_RNA_146_1	(1, 0.0017635421032680904)	(2, 0.01406556434975949)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.12681874738697185)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.26283522229201445)	(30, 0.0)	(32, 0.0)	(34, 0.1321603716493893)	(36, 0.0)	(38, 0.0)	(40, 0.00017602519127769186)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 2.9611714420546293e-05)	(64, 0.13045769807020785)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.1289820476349173)	(76, 0.0)	(78, 0.1285493875853282)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 1.6450952455859052e-05)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.2639538870590129)
TS047_RoL_RNA_146_2	(1, 0.0009738963853868559)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.00012338214341894288)	(26, 0.0)	(28, 4.935285736757716e-06)	(30, 1.6450952455859051e-06)	(32, 1.6450952455859052e-05)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 3.2901904911718102e-06)	(54, 2.7966619174960384e-05)	(56, 0.0)	(58, 0.13151055902738282)	(60, 0.0)	(62, 3.2901904911718102e-06)	(64, 0.0)	(66, 4.770776212199125e-05)	(68, 0.0)	(70, 0.0)	(72, 1.3160761964687241e-05)	(74, 5.0997952613163055e-05)	(76, 0.26466456820510603)	(78, 1.1515666719101335e-05)	(80, 1.6450952455859051e-06)	(82, 4.112738113964763e-05)	(84, 8.389985752488116e-05)	(86, 2.7966619174960384e-05)	(88, 8.225476227929526e-06)	(90, 0.13357844375108432)	(92, 0.00012667233391011468)	(94, 5.0997952613163055e-05)	(96, 0.00013818800062921603)	(98, 1.4805857210273147e-05)	(100, 0.0002171525724173395)
TS047_RoL_RNA_16_1	(1, 0.0017504915928739555)	(2, 0.014189527032356592)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.13741991711865204)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.2805236593491056)	(30, 0.0)	(32, 0.0)	(34, 0.12156636856005743)	(36, 0.0)	(38, 0.0)	(40, 0.0001623950031943308)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 1.8981234139597108e-05)	(64, 0.14201548480645004)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.13990645879093927)	(76, 0.0)	(78, 0.14090402809627586)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 1.6872208124086318e-05)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.27853906586851)
TS047_RoL_RNA_16_2	(1, 0.0008942270305765748)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.00010756032679105027)	(26, 0.0)	(28, 2.1090260155107897e-06)	(30, 2.1090260155107897e-06)	(32, 3.3744416248172636e-05)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 2.3199286170618685e-05)	(56, 0.0)	(58, 0.14545108818571711)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 5.6943702418791324e-05)	(68, 0.0)	(70, 0.0)	(72, 1.054513007755395e-05)	(74, 2.5308312186129475e-05)	(76, 0.29395393701587835)	(78, 1.2654156093064738e-05)	(80, 0.0)	(82, 3.163539023266185e-05)	(84, 8.014298858941e-05)	(86, 2.9526364217151056e-05)	(88, 6.327078046532369e-06)	(90, 0.14084286634182605)	(92, 8.43610406204316e-05)	(94, 4.21805203102158e-05)	(96, 0.0001265415609306474)	(98, 8.436104062043159e-06)	(100, 0.00018137623733392792)
