Description	p.adjust	Count	log_padj	mean_log2FC	n_up	n_down	gene_list	fc_list
Arginine and proline metabolism	0.011148086522462464	1	1.952799669301917	-4.54000823889258	0	1		
Cytoskeleton in muscle cells	0.02753743760399341	1	1.560076473891001	-4.54000823889258	0	1		
