feature	Oleiharenicola	Halomonas	Hyphomicrobiales_Incertae_Sedis_Genus	Pseudorhodoplanes	Pedosphaeraceae_Genus	Exiguobacterium	Parachlamydiaceae_Genus	Fluviicoccus	Dechloromonas	Rhodovarius	Chitinophagales_Genus	Mycobacterium	SWB02	Blfdi19_Genus	Streptococcus	Chloroflexaceae_Genus	Beijerinckiaceae_Genus	Piscinibacter	Nitrospira	Rhodococcus	Frankiales_Genus	Bacillus	Pseudobdellovibrionaceae_Genus	Phaselicystis	Pedomicrobium	Reyranella	Luteolibacter	Babeliaceae_Genus	Ideonella	Paracaedibacteraceae_Genus	Sphingorhabdus	SH.PL14	Hyphomonadaceae_Genus	env.OPS_17_Genus	Lysobacter	Luteimonas	Terrimonas	Psychromonas	Sediminibacterium	Altererythrobacter	Crenobacter	Acinetobacter	Rubrivivax	Deinococcus	Aeromonas	Larkinella	Fimbriimonadaceae_Genus	Brevifollis	Pajaroellobacter	IS.44	Bacteroidia_Genus	Pseudomonas	Brevibacterium	Kocuria	Marmoricola	NS9_marine_group_Genus	Hyphomicrobium	Cytophaga	Gracilibacteria_Genus	Verrucomicrobiaceae_Genus	Candidatus_Protochlamydia	Armatimonadaceae_Genus	Microscillaceae_Genus	Fimbriiglobus	Paludibaculum	Xanthobacteraceae_Genus	Vampirovibrionaceae_Genus	Flavobacterium	Gammaproteobacteria_Genus	Devosia	Saprospiraceae_Genus	Ilumatobacter	Peptostreptococcus	Leeia	Brevundimonas	Chlamydiales_Genus	Emticicia	Agitococcus	Phreatobacter	Microtrichaceae_Genus	Ensifer	Novispirillum	Paucibacter	Unknown_Family_Genus	Telmatocola	Paracoccaceae_Genus	Nocardia	Paenirhodobacter	Nitrosomonas	Uliginosibacterium	Novosphingobium	Comamonadaceae_Genus	Candidatus_Berkiella	Pseudobdellovibrio	Chitinibacter	Sphingomonas	Gemmataceae_Genus	P3OB.42	Limnobacter	Cetobacterium	Shinella	Sutterellaceae_Genus	Fluviicola	Hydrogenophaga	Legionella	Burkholderiales_Genus	SM2D12_Genus	Turicibacter	Clostridium	Chitinilyticum	Sphaerotilus	Stagnimonas	Vibrio	Candidatus_Ovatusbacter	Vampirovibrio	Shewanella	Bryobacteraceae_Genus	Polyangiia_Genus	Granulicatella	Sphingobium	Roseomonas	Dinghuibacter	IMCC26207	Truepera	Caulobacter	Tetragenococcus	Abditibacterium	Chitinivorax	Enterovirga	Saccharimonadales_Genus	Fundidesulfovibrio	Sandaracinaceae_Genus	Leucobacter	Chryseotalea	Ga0077536_Genus	Rickettsiaceae_Genus	Verrucomicrobiia_Genus	Phenylobacterium	Opitutaceae_Genus	Gordonia	Chryseobacterium	Micrococcus	Micavibrionales_Genus	Microtrichales_Genus	Paracoccus	Sphingopyxis	Rhizorhapis	Gaiellales_Genus	Cytophagales_Genus	Kinneretia	X0319.6G20_Genus	Lactobacillus	cvE6_Genus	Pir4_lineage	JG30.KF.CM45_Genus	Candidatus_Nomurabacteria_Genus	mle1.27_Genus	Methylibium	Polymorphobacter	Dyadobacter	Caedibacter	Aquihabitans	Chitinophagaceae_Genus	Agromyces	Bosea	LiUU.11.161_Genus	Pararhodobacter	Ligilactobacillus	Neisseriaceae_Genus	TM7a	Mariniblastus	Holosporaceae_Genus	Parvibium	Afipia	Pseudolysobacter	Culicoidibacter	Undibacterium	Arthrospira_PCC.7345	Neochlamydia	Citrobacter	Loigolactobacillus	Glutamicibacter	Rhizobium	Candidatus_Megaira	alphaI_cluster	Haliangiaceae_Genus	NS11.12_marine_group_Genus	Dietzia	Candidatus_Finniella	Cellvibrio	Candidatus_Alysiosphaera	Geminicoccaceae_Genus	Bacilli_Genus	Gemmatimonas	TRA3.20_Genus	SM1A02	Aquicella	KD4.96_Genus	Curvibacter	Brucella	Alphaproteobacteria_Genus	Gemmata	CM1G08	Bradyrhizobium	Nocardioides	Aerococcus	Chloracidobacterium	Staphylococcus	Vicinamibacteraceae_Genus	Flavihumibacter	Kineosporiaceae_Genus	PB19_Genus	Anaerocolumna	Candidatus_Paracaedibacter	Thermodesulfobacteriota_Genus	Rhizorhabdus	Bdellovibrio	BIrii41_Genus	Kapabacteriales_Genus	SH3.11	Dechlorobacter	Aeromicrobium	CL500.3	Ruminiclostridium	Aquabacterium	Sphingomonadaceae_Genus	DEV007_Genus	Pyrinomonadaceae_Genus	Nevskiaceae_Genus	Vagococcus	Acetobacteroides	Variovorax	Blastocatella	Bryobacter	Candidatus_Obscuribacter	Trueperella	Oligoflexaceae_Genus	bacteriap25_Genus	Pirellula	Sandaracinus	Babeliales_Genus	Weeksellaceae_Genus	X67.14_Genus	Malacoplasma	RBG.13.54.9_Genus	Blastomonas	PeM15_Genus	Cypionkella	Caldilineaceae_Genus	OM190_Genus	Cloacibacterium	Enterococcus	Allomeiothermus	Paraconexibacter	Silvanigrellaceae_Genus	Defluviimonas	Microbulbifer	Rheinheimera	Terrisporobacter	Rhodovastum	Massilia	Parageobacillus	X11.24_Genus	Thermomicrobiales_Genus	Chloronema	Fuscovulum	Paraclostridium	Pseudomonadales_Genus	Methylorubrum	Candidatus_Captivus	Weissella	Gemmobacter	MBNT15_Genus	Runella	Brevitalea	Rhizobiaceae_Genus	Spirosomataceae_Genus	Sporichthyaceae_Genus	Gemmatimonadaceae_Genus	Rhodocyclaceae_Genus	Vibrionaceae_Genus	Leuconostoc	Stenotrophomonas	Planococcus	Armatimonadota_Genus	DEV114	Simkaniaceae_Genus	Arthrobacter	Azospira	Eremiobacteria_Genus	Hirschia	Plesiomonas	OLB12	Thermus	Sporomusaceae_Genus	Chitinimonas	Levilactobacillus	Lysinibacillus	Lactococcus	Rhodospirillaceae_Genus	Raineya	Barnesiellaceae_Genus	NB1.j_Genus	AAP99	Acidovorax	Pirellulaceae_Genus	Ferruginibacter	Rhodopseudomonas	Pediococcus	Methylocystis	Mesorhizobium	Hyphomicrobiales_Genus	Hassallia	Nannocystis	WY65	Chthoniobacter	Turneriella	Permianibacter	Pseudoduganella	Nordella	Sporocytophaga	Delftia	Steroidobacter	Elstera	Longivirga	Latilactobacillus	Serinicoccus	Roseicella	Marinomonas	Tundrisphaera	IMCC26134	Parcubacteria_Genus	Pseudoxanthomonas	Vogesella	Flectobacillus	Rubripirellula	Candidatus_Accumulibacter	Burkholderia.Caballeronia.Paraburkholderia	Lacibacter	Propionivibrio	Peptostreptococcaceae_Genus	Romboutsia	Opitutus	AKYH767_Genus	Lautropia	Methyloversatilis	Bordetella	Haliscomenobacter	Ramlibacter	Panacibacter	Niveibacterium	Blastococcus	Elsteraceae_Genus	Perlucidibaca	Obscuribacteraceae_Genus	Coxiella	Acetivibrio	Polyangiaceae_Genus	Aurantisolimonas	Agrobacterium	Anaerotaenia	Limosilactobacillus	CL500.29_marine_group
f168	0	0	0	0	3	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	510	2	0	0	48248	0	0	0	0	0	0	2296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	162	23	0	0	0	0	0	0	0	0	0	60	0	0	0	105	0	0	90	8	0	0	0	0	0	3	0	18	0	26	0	0	3524	0	0	25	0	0	0	0	0	0	37	0	0	0	0	0	802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	366	9	0	0	0	0	0	0	0	0	7	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	19	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	2	0	10	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f169	0	6	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	431	5	0	0	15066	0	0	0	0	0	0	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	94	4	0	0	0	0	0	0	0	0	0	49	0	0	0	70	0	0	60	4	0	0	0	0	0	0	0	18	0	22	0	0	25316	0	9	18	0	5	0	0	0	0	52	0	0	0	0	0	767	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	7	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f170	0	5	12	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	495	2	5	0	40175	0	0	0	0	0	0	1533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	147	33	5	0	0	0	0	0	0	0	0	70	0	0	0	97	0	0	110	0	0	0	0	0	0	0	0	19	0	42	0	0	17078	0	6	35	0	0	0	0	0	0	25	0	0	0	0	0	625	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0
f286	56	0	904	17	808	0	6	0	709	10	0	175	0	0	0	0	12	0	47	10	0	0	203	0	24	30	400	0	0	0	14	125	24	840	0	93	0	0	53	0	102	11	207	34	7249	0	0	726	71	0	86	2021	0	0	0	92	8	10	389	26	0	42	27	166	0	0	29	238	353	232	499	0	0	83	0	10	443	26	332	6	218	0	460	0	267	1148	1820	89	181	0	32	1264	14	0	0	6	108	20	0	215	0	13	6	0	37	0	0	0	63	15	107	0	8017	0	20	0	0	0	0	0	233	108	35	0	30	0	0	13	0	5	0	11	0	308	0	0	0	10	24	0	0	0	0	45	0	0	0	0	1217	0	37	0	12	85	10	0	27	0	35	0	13	93	79	0	346	0	0	0	0	0	0	0	0	0	0	19	232	0	0	0	0	0	52	27	95	285	2	0	0	76	0	0	0	2	0	0	9	0	20	0	0	89	14	0	0	0	0	0	33	54	12	0	0	5	0	0	6	105	13	123	0	0	0	0	2994	0	0	0	0	0	0	51	5	0	15	0	11	0	39	0	0	0	35	0	0	0	16	0	0	99	8	0	0	0	2	0	0	0	0	110	0	0	17	0	0	305	0	20	0	0	0	301	0	574	16	68	0	10	0	24	0	0	0	0	0	0	0	0	273	15	15	19	0	0	0	0	0	0	0	0	0	0	0	33	219	0	0	0	0	0	0	0	5	0	0	34	0	0	549	0	0	0	0	5	126	0	0	6	0	244	14	0	0	1350	0	0	0	0	0	0	0	0	18	0	0	0	0	1444	0	8	35	0	0	0	0	0	0	2	82	0	0	0	0
f287	5	0	222	0	42	11	0	0	1928	0	0	65	0	0	0	0	0	0	6	17	0	0	12	0	0	9	45	0	0	0	0	8	0	32	0	0	0	0	0	0	20	1383	18	41	9512	0	0	0	0	0	14	4348	0	0	0	0	0	0	437	0	0	10	7	60	0	0	0	17	8	19	31	0	0	0	0	0	50	0	54	0	40	8	802	0	12	148	17	0	15	0	0	326	0	7	0	0	0	0	0	227	0	0	0	11	18	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	17	26	0	0	0	0	0	2	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	4	0	0	9	3	0	0	0	8	0	21	0	0	0	36	0	0	0	16	0	0	0	0	0	0	26	4675	0	0	0	0	6	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	9	16	0	0	0	0	0	0	12	0	0	9	14	0	0	0	3746	0	0	0	0	0	26	0	3	0	0	0	0	0	3	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	11	0	0	0	0	34	0	55	0	0	0	0	0	0	0	0	0	0	0	0	378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	4	26684	0	0	0	0	0	0	0	0	0	0	61	0	0	0	1971	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	101	15	0	0	0	0	0	3	0	0	0	0	0
f288	0	12	62	0	56	0	0	0	146	0	0	155	0	0	0	0	0	0	0	0	0	0	17	0	0	0	34	0	0	0	12	29	0	56	0	21	0	0	0	0	130	0	68	0	48217	6	0	86	6	0	216	526	0	0	0	15	0	0	13	26	0	0	3	30	0	0	52	286	99	32	73	0	0	0	0	0	120	0	146	0	0	0	133	0	26	141	109	18	12	0	20	67	0	0	5	0	98	0	0	2520	0	11	37	0	12	4	0	0	6	50	0	0	6455	0	0	78	0	0	0	0	60	39	0	0	0	0	0	13	0	0	0	0	0	30	0	0	0	0	3	0	0	0	0	6	0	0	0	0	301	0	0	0	0	8	0	0	0	0	0	0	0	5	0	0	15	0	0	0	0	0	0	0	0	0	0	60	66	0	0	0	0	0	0	0	20	93	0	0	0	169	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	5	0	0	0	0	0	0	9	0	0	12	0	0	0	0	137	0	0	0	0	0	0	0	24	0	0	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	46	0	0	0	0	0	48	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	9	38	0	0	10	0	0	0	0	0	0	0	5	4	0	35	0	0	0	0	12	9	0	0	0	0	142	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	195	0	0	40	0	0	0	7	0	0	0	0	0	0	0	0
f289	66	2	772	19	707	76	4	0	325	0	0	1984	0	5	0	0	25	0	212	941	0	17	206	7	71	20	159	0	38	0	138	161	23	1452	0	605	49	0	69	0	84	51	170	123	21962	16	14	461	150	0	95	1205	0	0	0	85	0	37	137	49	35	133	44	475	0	0	226	296	135	250	535	0	0	99	0	15	209	27	305	0	283	0	501	10	557	904	1461	81	316	0	42	2363	42	33	0	0	322	26	0	555	22	0	31	182	80	9	5	0	91	12	82	0	14	0	15	40	0	0	0	0	222	95	15	0	0	0	0	7	0	0	0	43	0	828	28	0	0	0	39	729	0	0	14	22	15	22	0	0	719	390	34	0	0	123	26	0	98	50	11	0	0	34	31	0	98	0	0	0	0	27	0	0	0	0	11	22	460	0	12	0	0	103	101	14	100	292	0	0	0	230	2	0	0	0	0	0	17	0	30	0	2	469	66	44	53	0	0	0	51	0	27	0	0	4	0	0	31	55	24	141	16	0	0	0	787	0	0	0	48	0	312	79	19	0	36	0	5	0	57	0	0	0	21	0	0	0	15	0	0	369	12	0	0	0	3	0	0	0	0	50	0	0	79	0	0	393	0	62	0	2	0	192	8	388	6	49	0	7	12	18	0	0	29	0	0	90	0	0	9	34	34	4	58	0	0	24	0	0	0	15	30	0	13	139	386	0	0	28	0	0	24	0	82	31	56	4	34	15	476	8	0	40	38	10	104	0	0	0	0	463	3	2	38	239	0	0	0	0	0	0	0	0	40	16	0	0	18	1900	0	17	57	0	0	0	18	0	0	22	32	0	4	0	0
f290	0	0	3	0	5	0	0	0	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	69040	0	0	0	0	0	0	1470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	246	0	0	0	0	0	0	0	0	0	94	0	0	59	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	6	0	0	0	0	12	0	0	0	713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0
f316	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	908	0	33	0	76831	0	0	0	0	0	4	3361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	30	0	0	0	0	0	0	8	0	0	21	0	0	0	381	19	12	113	0	0	0	0	0	10	0	0	0	0	8	0	0	8902	0	48	65	0	2	0	0	0	2	160	0	0	0	0	0	2009	0	0	0	0	9	17	3	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	34	4	0	0	4	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	189	6	0	0	10	0	0	0	5	0	10	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	8	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0
f317	0	0	0	0	0	0	0	0	2	0	0	36	0	0	0	0	0	0	0	25	0	0	26	0	0	0	0	0	0	0	0	0	0	53	0	2	0	0	0	0	364	0	59	0	59279	0	0	0	0	0	0	583	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	178	28	0	0	0	0	0	0	23	0	0	44	0	11	0	265	35	0	189	35	32	0	0	0	0	0	0	0	0	22	0	0	5223	0	69	183	0	5	0	0	0	0	147	0	0	8	0	0	1468	0	0	0	0	23	47	0	0	0	0	0	0	0	0	0	0	0	90	0	0	13	0	0	256	0	0	0	9	0	0	0	0	4	0	0	0	0	5	0	0	0	0	3	0	0	4	0	0	6	0	0	0	0	0	0	0	0	0	0	479	0	0	0	0	0	0	0	7	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0
f318	0	0	0	0	0	0	0	0	0	0	0	17	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	179	0	0	0	57659	0	0	0	0	0	0	911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	2	0	0	6	0	0	0	164	0	0	51	0	0	0	0	0	0	2	0	0	0	5	0	0	3024	0	20	20	0	0	0	0	0	0	40	0	0	0	0	0	1691	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
f319	14	0	22	0	124	0	0	0	121	0	0	44	0	0	4	0	0	0	8	17	0	0	4	7	0	0	17	0	0	0	14	37	0	162	0	77	24	0	21	0	478	0	15	0	70730	0	0	48	0	0	19	1429	0	0	0	0	0	58	0	14	4	45	3	27	0	0	6	127	59	33	11	0	0	8	0	0	22	0	53	0	242	50	329	5	16	159	41	0	25	0	0	129	0	0	0	0	0	0	0	2337	34	39	220	27	12	0	0	0	80	52	0	0	0	0	0	2015	0	0	0	0	9	73	0	0	0	0	0	0	0	0	0	10	0	43	0	0	6	0	0	58	0	0	0	0	0	0	0	0	40	0	26	0	0	0	0	0	8	0	4	0	0	0	27	4	22	0	0	0	0	0	0	19	0	0	0	212	18	14	0	33	0	262	0	0	0	200	14	0	0	172	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	24	0	2	0	0	0	0	24	4	12	55	23	0	0	0	89	0	0	0	0	0	110	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	3	0	0	7	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	5	47	0	38	0	0	9	0	0	0	0	0	0	0	0	0	0	0	82	0	6	46	14	0	0	10	0	3	18	0	0	0	0	0	0	0	0	14	0	0	0	0	10	3	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	56	0	11	13	20	0	0	0	0	0	0	6	0	0	0	0	0	57	215	0	0	36	0	0	0	0	0	0	0	36	23	0	0	0
f320	0	0	0	0	4	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	389	7	0	0	88204	0	0	0	0	0	0	2759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	20	0	0	0	422	0	0	47	0	8	0	0	0	71	0	0	0	0	0	0	0	1607	0	30	25	11	0	0	0	0	0	18	0	0	0	0	0	1696	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	15	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
f346	0	0	35	11	25	0	0	0	17	6	0	528	0	0	0	0	0	0	0	0	0	0	27	0	0	27	0	0	0	0	4	16	0	97	0	8	0	0	0	0	111	0	229	0	66906	0	0	0	57	0	0	2924	0	0	0	108	0	0	0	0	0	0	31	31	0	0	162	0	49	39	0	0	0	0	0	21	0	0	45	0	0	0	58	0	0	462	663	20	0	0	0	30	10	0	19	0	170	0	0	198	0	5	0	0	12	0	0	0	19	182	0	0	4304	0	0	236	0	0	0	0	119	93	0	0	0	0	0	0	4	0	0	0	0	311	0	0	0	0	0	0	8	0	0	32	0	4	0	0	8	0	0	0	0	10	7	0	0	0	34	0	0	100	0	0	8	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	27	5	0	0	0	0	0	49	5	0	0	0	0	2	0	0	0	0	0	30	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	25	0	0	0	0	0	53	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	68	0	0	7	0	0	0	0	0	30	0	0	6	0	182	0	0	0	595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	9	0	0	23	0	0	0	0	0	0	0	0
