feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Paenirhodobacter	Treatment	A+ T- P+	-2.70862835450443	0.584068538181471	165	127	7.31686730481181e-06	0.000381522366608044
Vibrio	Treatment	A+ T- P+	3.59437972829962	0.777464521355438	165	61	7.77613875345033e-06	0.000397360690301312
Polyangiia_Genus	Treatment	A- T+ P+	-1.22602894142279	0.266405681054665	165	14	8.50421546840287e-06	0.000426044520034693
Paucibacter	Treatment	A- T- P+	-2.06810014264934	0.451545660099676	165	163	9.3360509086181e-06	0.000458723270606139
Vampirovibrionaceae_Genus	Treatment	A- T- P+	3.12315264111433	0.682895973914444	165	89	9.60184961125043e-06	0.000462881618051789
Rubrivivax	Treatment	A+ T+ P+	3.01763705973065	0.660588786986903	165	94	9.81851011143163e-06	0.000464560987679775
Polymorphobacter	Treatment	A- T- P+	2.42842584474879	0.532192003853733	165	66	1.00291677870255e-05	0.000465900430833641
Paenirhodobacter	Treatment	A- T+ P+	-2.81485999097723	0.618306324680197	165	127	1.04835709269122e-05	0.000478312923540367
Agromyces	Treatment	A- T+ P+	-2.97965685485345	0.660533246425664	165	70	1.24777199825039e-05	0.000551885110457552
Rubrivivax	Treatment	A- T+ P+	2.82101471220438	0.626371769061	165	94	1.28611587405903e-05	0.000551885110457552
Eremiobacteria_Genus	Treatment	A- T- P+	-1.17081240200542	0.260070629480373	165	19	1.29601200107449e-05	0.000551885110457552
Eremiobacteria_Genus	Treatment	A+ T- P+	-1.127009667477	0.25004410636902	165	19	1.26743542379284e-05	0.000551885110457552
Plesiomonas	Treatment	A+ T+ P+	-1.81669464656545	0.404288488963313	165	160	1.34188064274959e-05	0.000562050006922166
Niveibacterium	Treatment	A+ T- P+	-3.6859191179457	0.822227245418315	165	106	1.40308634282698e-05	0.000578207355794022
Paucibacter	Treatment	A+ T+ P+	-2.16780412887324	0.48469203645351	165	163	1.4645102106982e-05	0.000593940252116493
Sporomusaceae_Genus	Treatment	A- T+ P+	-1.91732954809442	0.430568054612417	165	18	1.58796471302964e-05	0.000633945287779803
Shewanella	Treatment	A+ T- P+	2.77421572766962	0.629442632077123	165	153	1.91672955070264e-05	0.000753422154160807
Sphaerotilus	Treatment	A- T- P+	-2.83977228688475	0.645532952931629	165	34	1.98324341298527e-05	0.000767755593966269
Chitinimonas	Treatment	A+ T+ P+	1.53293066512623	0.349925398466544	165	18	2.13843053839672e-05	0.00081547612322442
Polyangiia_Genus	Treatment	A+ T+ P+	-1.22843227372804	0.280958712360458	165	14	2.21362542794629e-05	0.000831737201235702
Haliangiaceae_Genus	Treatment	A+ T+ P+	-4.08285733889031	0.942895175489464	165	73	2.6284496941849e-05	0.000973288256324989
Haliangiaceae_Genus	Treatment	A+ T- P+	-3.64877448822553	0.844548345635389	165	73	2.73442772362916e-05	0.000998066119124643
Chitinivorax	Total.Worm.Count	Total.Worm.Count	0.157701487083535	0.0367352783017226	165	45	3.05575697593667e-05	0.00109964212303073
Sporomusaceae_Genus	Treatment	A- T- P+	-1.81084883754982	0.423035306504823	165	18	3.21120242552032e-05	0.00113953086072284
Aurantisolimonas	Treatment	A+ T- P+	-2.82926566281956	0.663225616983212	165	122	3.40670284321319e-05	0.00119234599512462
Gemmobacter	Treatment	A- T+ P+	-2.11604384479746	0.498715011785426	165	133	3.73473376360364e-05	0.0012783922780353
Rhizobium	Treatment	A+ T- P+	-2.73534450207198	0.644854919979504	165	71	3.75261921145393e-05	0.0012783922780353
Parachlamydiaceae_Genus	Treatment	A+ T- P+	1.5611961125661	0.368643203303352	165	46	3.85637591685347e-05	0.00129645269310008
Shewanella	Treatment	A+ T+ P+	2.92820322122542	0.702740611712874	165	153	5.0558603258299e-05	0.00167762638084356
Halomonas	Treatment	A- T- P+	1.9689547890245	0.475128051458378	165	53	5.53113257848186e-05	0.00181180047923348
Candidatus_Megaira	Treatment	A- T- P+	2.05306594435933	0.502087303075492	165	64	6.86058144765041e-05	0.00219109819984335
Acetobacteroides	Total.Worm.Count	Total.Worm.Count	0.116019240145389	0.0283629834908986	165	22	6.82178777453194e-05	0.00219109819984335
Sphaerotilus	Treatment	A- T+ P+	-2.66926340838578	0.657027589560805	165	34	7.60324009914856e-05	0.00236905834796641
Acetivibrio	Treatment	A+ T+ P+	0.295776681393974	0.0727484127397014	165	5	7.51194323535239e-05	0.00236905834796641
Kineococcus	Total.Worm.Count	Total.Worm.Count	0.00976472390338261	0.0024117219938626	165	2	8.0201966650207e-05	0.00246886776856962
Pirellulaceae_Genus	Total.Worm.Count	Total.Worm.Count	0.108223337052435	0.0268200792534793	165	44	8.45640738712889e-05	0.00257215724691837
Shewanella	Treatment	A- T+ P+	2.68643600405742	0.666340223783316	165	153	8.57252212113995e-05	0.00257679929641324
X67.14_Genus	Treatment	A+ T+ P+	2.42894163137765	0.603466049238115	165	84	8.79500528546976e-05	0.00261293470981107
Sphaerotilus	Treatment	A+ T+ P+	-2.7867432323827	0.692919253138679	165	34	8.90555318388646e-05	0.00261536648101493
Crenobacter	Treatment	A- T+ P+	-1.94418969166548	0.48639395834275	165	164	9.78845863288957e-05	0.00281456520045363
Candidatus_Accumulibacter	Treatment	A+ T+ P+	0.763010519012692	0.190908591233909	165	7	9.80416058083653e-05	0.00281456520045363
Arthrobacter	Total.Worm.Count	Total.Worm.Count	0.0224991468328582	0.00569308899332482	165	3	0.0001163038196621	0.00330173621374072
CM1G08	Total.Worm.Count	Total.Worm.Count	0.0522754617464843	0.0132407667689405	165	8	0.000118060015096488	0.00331476196232446
Acinetobacter	Treatment	A- T- P+	2.68744720252161	0.684231911146627	165	109	0.000127553240946682	0.00354237533281275
Vogesella	Treatment	A- T- P+	2.97190426900107	0.758379491880318	165	74	0.000131936231241433	0.00362469968625658
Parachlamydiaceae_Genus	Treatment	A- T+ P+	1.52677411633896	0.390252871456689	165	46	0.000135210294081277	0.00367513086571983
Candidatus_Berkiella	Treatment	A- T+ P+	1.71369961998758	0.43871155019609	165	35	0.000138337500483335	0.00372055067089391
Bosea	Treatment	A+ T+ P+	-2.45591628641287	0.629692061014118	165	136	0.000141515187430844	0.0037656529160837
Chlamydiales_Genus	Treatment	A+ T+ P+	2.3104648524129	0.59280908817632	165	76	0.000142962165502982	0.0037656529160837
Polyangiia_Genus	Treatment	A- T- P+	-1.01381846195865	0.2617449384187	165	14	0.000156558533401657	0.00408170462082892
Pirellula	Treatment	A+ T- P+	-2.14098275117422	0.553218932780345	165	83	0.00015848354334302	0.00409015609334763
Sporomusaceae_Genus	Treatment	A+ T- P+	-1.54532060862861	0.406725993584469	165	18	0.000206133895893249	0.00526672104007251
Aquihabitans	Treatment	A+ T- P+	-2.43880912880842	0.644549180985641	165	111	0.00021840898483784	0.00552509857683842
