Contrast	Total_Genes	Significant_Genes	Upregulated	Downregulated
A_minus_T_minus_P_plus_vs_A_minus_T_minus_P_minus	20648	3753	1994	1759
A_plus_T_minus_P_minus_vs_A_minus_T_minus_P_minus	20648	35	8	27
A_plus_T_minus_P_plus_vs_A_minus_T_minus_P_minus	20648	6473	3453	3020
A_minus_T_plus_P_minus_vs_A_minus_T_minus_P_minus	20648	47	6	41
A_minus_T_plus_P_plus_vs_A_minus_T_minus_P_minus	20648	6196	3235	2961
A_plus_T_plus_P_minus_vs_A_minus_T_minus_P_minus	20648	117	18	99
A_plus_T_plus_P_plus_vs_A_minus_T_minus_P_minus	20648	5017	2603	2414
