gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
42sp43	51.58580536600378	5.092176336535594	2.4618597943331237	2.0684266213117057	0.038599924062253835	0.09964943991215792
a1cf	11062.524512401731	-0.8640524005519618	0.2712173356223013	-3.1858302809789625	0.0014433924474796555	0.007456258649188424
a2m2a	392.0874411927757	0.08194886544171613	0.3810384521927822	0.21506718014972148	0.8297149416028762	0.9045368228896279
a2m2b	648.0970472659394	-0.972362765793351	1.2344126619345117	-0.7877128903307838	0.4308646638963754	0.5972855292319167
a2m2c	622.6297075299054	-0.1023357137672019	1.1452904065530947	-0.08935350648329883	0.9288009720602711	0.9606463836803404
a2m2d	4502.0700082882095	0.6395656066686078	1.2690451091420043	0.5039738950658856	0.6142797215155902	0.7530892710562314
a2m2e	1559.3156592130042	-0.4656193942518359	1.1837651064997683	-0.39333765769512236	0.6940701082221583	0.8112277223977656
a2m2f	901.752196170864	1.9378567654394685	1.2999918706898568	1.4906683719576805	0.13604858380107032	0.2611185968923071
a2m2h	3211.9620038467137	0.4387731747066947	1.236372231257677	0.35488760068669667	0.7226737978849399	0.8316612564915383
a2m3a	59.765845667392774	0.0377389005783288	2.403138568363691	0.015704005201841276	0.9874705317028978	0.9926837505240306
a2m3b	80.37976272305228	0.18870976938867007	2.0489522481342015	0.09210061852857296	NA	NA
a2m3d	30.93252257206713	-2.1085321666946606	2.0503121573721783	-1.028395680683619	0.3037637394858418	0.4686405011458889
a2m3f	85.72468326289244	0.34474086008237537	2.3528873411043665	0.1465182178763245	0.8835123093265911	0.9373119091982656
a2m3g	116.48067260327626	-0.1799011013572938	1.8757253656001054	-0.09591015009797962	NA	NA
a2m3h	231.2562239103852	-1.8639500950449241	2.5476957228960786	-0.7316219430341114	0.4643993512371192	0.6282298419370033
aaas	231.0422793687067	1.378812712693639	0.19993552240115792	6.896286843551187	5.337936044552483e-12	6.573332620133042e-10
aacs	3132.2915751966275	-0.26890367738891047	0.5406956617116239	-0.49732908257053543	0.6189570063898062	0.7570229638022394
aadac	81.91224945153319	-1.2067050948183697	0.30863968015831217	-3.9097535812615156	9.239032184715764e-5	7.919995701487273e-4
aadacl4	35.99861843605002	-3.6104892311530667	0.8269939718931926	-4.36579872872322	1.2665906909896736e-5	1.5290592354922185e-4
aadat	300.5337182568136	-0.03534301971543582	0.23834430493076855	-0.14828556413673002	0.882117407559521	0.9366348867441938
aagab	310.6952771122062	0.17150048542800878	0.14519569367263938	1.181167850712409	0.23753605004251832	0.39223774442945153
aak1a	137.76619794603144	0.48252987226146826	0.288773014886615	1.6709659399820678	0.09472840556125074	0.199204547054695
aak1b	145.8275652053779	0.314196695396853	0.19779813695864013	1.5884714599842364	0.11217976971166331	0.22646284128009775
aamdc	384.3445333443496	-0.3349128873113869	0.23902731782999917	-1.4011489998376814	0.16116952146581884	0.2953003571761016
aamp	1126.4156722437049	-0.30546566550584514	0.17904530330278523	-1.7060803040963841	0.08799312912142579	0.18832123013655128
aar2	264.97752948085395	0.14113581263296726	0.1971060085210886	0.71604013338775	0.4739665679724043	0.6369654666170785
aars1	3113.3068346513155	-0.4610183138904913	0.20265628666764282	-2.274877929874257	0.02291325364222501	0.06723902128315602
aars2	122.92990495447044	0.7075144592824446	0.20390751205290078	3.4697812364013862	5.20882429193495e-4	0.0032401534048288644
aarsd1	226.57587663276368	1.141707639284667	0.24455277169345446	4.668553258990625	3.033281498401631e-6	4.641326935612317e-5
aasdh	19.88448754871109	-0.08934721137318198	0.46628259817610096	-0.19161601081119098	0.8480430000984851	0.9159035319323225
aasdhppt	68.76836051537745	-0.4875702977977246	0.23707546032596932	-2.056603821953292	0.039724350300551305	0.101747573039088
aass	254.20598702549677	-0.3584650544780642	0.38838364560656263	-0.92296639812994	0.3560247164417914	0.523739834565781
aatf	280.5623707682248	1.0528662779120088	0.2707255278176727	3.889054299382841	1.0063560231343127e-4	8.481849022851288e-4
aatka	371.20814499880925	-0.3312938642108183	0.3052481451785908	-1.0853263793527361	0.2777771263750463	0.4396926265319295
aatkb	50.6542871629606	0.34042617450974655	0.4079349824369772	0.8345108636578864	0.403993168153711	0.5716727105952705
abat	13998.688313822897	-0.7475488565007697	0.20450151657642465	-3.655468521776961	2.5671270813279993e-4	0.001817939684142917
abca12	175.15814830918436	1.5115457893955624	0.8406301151971927	1.798110443665212	0.07215950756094114	0.16193438124560344
abca1a	1315.6938196702918	-0.956580833850262	0.4568453169679043	-2.093883418131802	0.036270366745790233	0.09518888363031855
abca1b	1494.6410527480978	-1.229341311242625	0.45972911327838845	-2.6740558205592664	0.007493997654873807	0.027879383217581613
abca2	969.7061604193589	-0.4031971869006244	0.2575312275307295	-1.5656244517085351	0.11743656216777613	0.23408770970052498
abca3b	1260.5792819989147	-0.8371165568792371	0.21304399783977673	-3.9293130309580677	8.51888838934014e-5	7.39826603575929e-4
abca5	530.0033669926858	-1.0266514956149004	0.20456787967686052	-5.018634876778405	5.203995059502702e-7	1.0638186719550007e-5
abca7	80.72423593216487	0.18541918560711998	0.2911971051868248	0.6367480387147382	0.5242889770507497	0.6807548308088518
abcb10	348.7369053971499	0.5855817604275406	0.2503949511689333	2.3386324592162713	0.01935446340727806	0.05883585217600493
abcb11a	2714.708803607831	-1.3803949319003606	0.6639730439103201	-2.078992429829432	0.03761804626754059	0.09771569047517648
abcb11b	723.0482957343131	-1.5486913570332241	1.2404197830723114	-1.2485219747119607	0.21183996613781375	0.3616844253735276
