feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Oscillospiraceae_Genus	Timepoint	Timepoint	0.00256443273759854	0.000833772671703784	594	10	0.00219816245104692	0.0188381962725853
Roseicella	Treatment	A+ T+ P+	0.589701237355206	0.191723864688599	594	85	0.00219753545214099	0.0188381962725853
Dinghuibacter	Treatment	A- T+ P-	-1.26177617898963	0.410443886831637	594	242	0.00220923509729358	0.0188850350448852
Candidatus_Paracaedibacter	Treatment	A- T- P+	-0.243963889888545	0.0794050114072336	594	23	0.00222220670947882	0.0189478283481637
Eremiobacteria_Genus	Treatment	A+ T+ P+	-0.652501776480654	0.213632438641054	594	44	0.00235833729151362	0.0200577777722674
Mesorhizobium	Treatment	A- T+ P-	0.598648024211551	0.196053776897936	594	46	0.00236477377262165	0.0200618591087902
Phaselicystis	Treatment	A- T- P+	-0.466158059690773	0.153336419065473	594	32	0.00247073838888683	0.0209081580245499
Chlamydiales_Genus	Treatment	A+ T+ P+	0.853044174179758	0.280682250227269	594	132	0.0024781694250588	0.0209184827659099
Sporomusaceae_Genus	Treatment	A- T- P+	-0.662057606515606	0.218392008325082	594	35	0.00254099761943936	0.0213951999556794
Paenirhodobacter	Treatment	A- T+ P-	-1.01782314356415	0.336699076758405	594	257	0.00261286632219845	0.0219454707560209
Gammaproteobacteria_Genus	Treatment	A+ T+ P-	-1.61508343221524	0.53541535385311	594	424	0.00266813503443909	0.0222984585508458
Saprospiraceae_Genus	Treatment	A+ T- P-	-1.18805203261295	0.393764676724217	594	111	0.00266244910377152	0.0222984585508458
Verrucomicrobiaceae_Genus	Treatment	A+ T- P-	-0.778665295627243	0.258250647520323	594	52	0.00267987527295445	0.0223411384141351
Candidatus_Megaira	Treatment	A+ T- P+	0.59893680732734	0.199419421596942	594	69	0.00278389984090758	0.0231510485535228
Haliangiaceae_Genus	Treatment	A- T- P+	-1.52820639421779	0.509169096525055	594	241	0.00280223678355042	0.0232461415935906
Culicoidibacter	Treatment	A+ T- P-	-1.41326291355516	0.471401690671429	594	584	0.00283294414888355	0.0234431348733164
Legionella	Treatment	A- T+ P-	-1.46595281145586	0.48988783442906	594	326	0.00288440359893741	0.0238104689245618
Aquihabitans	Treatment	A+ T- P+	-0.987083899339544	0.32996401068511	594	206	0.00289312374239565	0.0238240605486272
Acinetobacter	Treatment	A- T- P+	1.56550001967784	0.523635234979506	594	304	0.00291008541147311	0.0239052869898571
Acetivibrio	Timepoint	Timepoint	0.00127381130426251	0.000426262773394775	594	6	0.00292279884703916	0.0239513053937418
Vampirovibrionaceae_Genus	Treatment	A- T+ P+	0.855042869693601	0.28630816868056	594	115	0.00294056974168554	0.0240224765651806
Spirosomataceae_Genus	Timepoint	Timepoint	0.00291443334374593	0.000976066590261985	594	9	0.00294574905624097	0.0240224765651806
Peptostreptococcus	Timepoint	Timepoint	-0.00642028760137705	0.0021544148005684	594	50	0.0030015777117414	0.0244186322056643
Bryobacteraceae_Genus	Timepoint	Timepoint	0.00217850593235489	0.000732547069228404	594	7	0.00306178689146032	0.0248484295191286
alphaI_cluster	Treatment	A- T- P+	0.659216571089821	0.22223240177662	594	82	0.00313670631166372	0.0253952568694313
Pirellulaceae_Genus	Treatment	A+ T+ P+	0.374186606114578	0.126519349708119	594	39	0.00322620534595637	0.0260572172786116
Chitinophagaceae_Genus	Treatment	A+ T- P-	-0.871272225870235	0.29479628470899	594	73	0.00324728019400095	0.026164688261711
Thermoactinomycetaceae_Genus	Treatment	A+ T+ P-	0.0575514298076683	0.0195043702818686	594	3	0.00329753220703518	0.0265061777405596
Hyphomicrobiales_Incertae_Sedis_Genus	Treatment	A+ T+ P-	1.39488644718629	0.472907987307446	594	267	0.00330912205932009	0.0265360073709287
Runella	Treatment	A+ T- P-	-1.34148234532371	0.454960727182808	594	141	0.00331996694166401	0.0265576355633803
Mesorhizobium	Treatment	A- T- P+	0.558216919039561	0.189364231500186	594	46	0.00332758972914089	0.0265576355633803
Hyphomonadaceae_Genus	Timepoint	Timepoint	0.00863423485624339	0.00293173816717327	594	59	0.00335694212979049	0.0267285605038638
Dechloromonas	Treatment	A- T- P+	-1.29548920973071	0.440635711205055	594	256	0.00341126444678456	0.027033267427695
Flavihumibacter	Treatment	A+ T+ P-	0.607050653727868	0.206472174536316	594	46	0.00341058226473566	0.027033267427695
Bacilli_Genus	Treatment	A+ T+ P-	0.273140015230567	0.0934253525517565	594	19	0.00359376891797553	0.0283461679525564
Methyloversatilis	Treatment	A- T+ P-	0.100346019274277	0.0343197124957048	594	3	0.00359101884769073	0.0283461679525564
Pseudoxanthomonas	Treatment	A+ T+ P-	0.924315981551898	0.316535196918532	594	87	0.00363393092870991	0.0285959798315303
X67.14_Genus	Treatment	A+ T- P-	0.819494042059291	0.280713811497639	594	135	0.00364293601166354	0.028600019783876
cvE6_Genus	Treatment	A- T+ P-	-0.713543602956822	0.244561712471713	594	77	0.0036623292664238	0.0286854069053846
Rhodospirillaceae_Genus	Timepoint	Timepoint	0.00162359051362896	0.000557920514425179	594	6	0.00375086638147539	0.0293107145540814
Candidatus_Paracaedibacter	Treatment	A+ T+ P-	-0.251197261450421	0.0864217793063842	594	23	0.00379165871074395	0.0295608947633926
Nocardia	Treatment	A- T+ P-	1.63658202510248	0.563298837617509	594	382	0.00380709501863321	0.0296126928932024
Streptococcus	Treatment	A+ T- P+	1.30817407223879	0.450551962212892	594	262	0.00382946609479049	0.0297180686803096
Candidatus_Protochlamydia	Treatment	A- T+ P-	0.624776261426023	0.215593596077905	594	91	0.00389698153137314	0.0301724914888845
Devosia	Treatment	A- T+ P+	1.04852644699979	0.362738306221297	594	141	0.00398793007700345	0.03080584518199
Microtrichaceae_Genus	Timepoint	Timepoint	0.00505518366383395	0.00175229421767588	594	29	0.00405970059352271	0.0312884933615206
