feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Chitinophagales_Genus	Timepoint	Timepoint	0.00239428278674739	0.000865174580112406	594	9	0.00582815424699633	0.0295620835901862
Glutamicibacter	Pathogen	Pathogen	0.413320406946107	0.149511699069623	594	72	0.00588006114400901	0.0297358047042378
Candidatus_Accumulibacter	Timepoint	Timepoint	0.00129724737036769	0.000469942114975112	594	6	0.00595210541994196	0.0300100165484499
Microtrichales_Genus	Temperature	Temperature	0.46015821446764	0.166991189242718	594	141	0.00604003872081743	0.0303624633010644
Piscinibacter	Antibiotics	Antibiotics	-0.100275728815191	0.0364054877634449	594	15	0.00606142014657195	0.0303792604965094
Phenylobacterium	Antibiotics	Antibiotics	-0.288173876751581	0.104730163139053	594	38	0.00611332602492704	0.0305484896913268
SM2D12_Genus	Timepoint	Timepoint	0.00138590796321038	0.00050423067720697	594	7	0.00616928844912409	0.0306557515560431
Chryseotalea	Antibiotics	Antibiotics	-0.696106846597903	0.253271913635563	594	215	0.00617119939281391	0.0306557515560431
Roseomonas	Pathogen	Pathogen	-0.540136336509024	0.196898712999375	594	227	0.0062692128890954	0.0310510426624607
Pseudorhodoplanes	Antibiotics	Antibiotics	0.322867376129103	0.118365085617426	594	66	0.00656746422751505	0.0324328731939453
Chryseotalea	Temperature	Temperature	0.689765490116333	0.254153274452525	594	215	0.00684279253224387	0.0336937503634464
Emticicia	Antibiotics	Antibiotics	-0.670458668657708	0.248123347990276	594	163	0.00708849127506914	0.0348018055603978
CM1G08	Timepoint	Timepoint	0.00196536415000748	0.000727779629177393	594	7	0.00712277726844128	0.0348684794187649
Lutispora	Timepoint	Timepoint	0.00192937221092638	0.000714904267635206	594	7	0.00715900815690123	0.0349442601049904
Pseudomonadales_Genus	Timepoint	Timepoint	0.00213883488348932	0.000793155569655265	594	7	0.00720522610193468	0.0350682102764682
Polyangiia_Genus	Pathogen	Pathogen	-0.119843067066029	0.0444730532097238	594	13	0.00724549884454567	0.0351625938161813
Chitinophagaceae_Genus	Antibiotics	Antibiotics	-0.407973298491958	0.151564533975535	594	73	0.00730991651651085	0.0353732741775985
Hydrogenophaga	Timepoint	Timepoint	-0.0106374578421378	0.00395549460828698	594	100	0.00736333966583674	0.0355296962672466
Truepera	Timepoint	Timepoint	-0.00465767524117736	0.00173524188921929	594	34	0.00747568835723131	0.0359687405530786
Candidatus_Obscuribacter	Antibiotics	Antibiotics	0.391357039445503	0.146199709020418	594	116	0.00763846025541978	0.0366224471825511
IMCC26134	Timepoint	Timepoint	0.00157606366340779	0.000588933869352244	594	7	0.00765504834219595	0.0366224471825511
Azospira	Antibiotics	Antibiotics	-0.188854588276615	0.0709002408366432	594	27	0.00794093720428966	0.0378825446232968
Spirosomataceae_Genus	Pathogen	Pathogen	0.116167400540561	0.0436628764100859	594	9	0.00801382920275171	0.0381222835520731
Acetivibrio	Antibiotics	Antibiotics	0.0510523465674955	0.0192068930228787	594	6	0.00807352886437092	0.0382980918523961
Verrucomicrobiia_Genus	Pathogen	Pathogen	-0.295346834784987	0.111219067692159	594	112	0.00813243138667341	0.038469141727972
Sporocytophaga	Temperature	Temperature	0.0397177084531493	0.0150000653588696	594	6	0.00831786016471036	0.0392360686761127
Gemmobacter	Pathogen	Pathogen	-0.469805543638522	0.177538915632953	594	541	0.00835742197207539	0.0393125659245111
Gracilibacteria_Genus	Antibiotics	Antibiotics	-0.287088300021421	0.10855545644363	594	47	0.00839627417009375	0.0393853083633367
Afipia	Antibiotics	Antibiotics	-0.135834392965478	0.051678422169164	594	10	0.00880111460650233	0.041169658325972
Bacilli_Genus	Temperature	Temperature	0.119177851372949	0.0454748511994432	594	19	0.00900032106658456	0.0419848772191923
Rhodovarius	Temperature	Temperature	-0.13687542012704	0.0523291113210325	594	22	0.00913364625496232	0.0424891168324767
Dongia	Timepoint	Timepoint	0.000747132862633555	0.000285820690342341	594	4	0.00917797541142279	0.0425777151317796
Eremiobacteria_Genus	Timepoint	Timepoint	0.00636567362651203	0.00243947457732919	594	44	0.00929940233961719	0.0430225097250422
Agromyces	Antibiotics	Antibiotics	0.427426189977498	0.163997724498477	594	106	0.0093843940228836	0.0432967658480438
Clostridium	Pathogen	Pathogen	-0.575311184860072	0.22166294614636	594	258	0.00968268563532894	0.0445509360926064
Afipia	Pathogen	Pathogen	-0.131915123377275	0.0516547768825164	594	10	0.0109066161837558	0.0500456175843184
Arthrospira_PCC.7345	Timepoint	Timepoint	-0.00862969356244291	0.00338694294462474	594	84	0.0110892563851849	0.0507454015017699
Chitinivorax	Temperature	Temperature	0.24235782822504	0.095156885432137	594	44	0.0111207612991257	0.0507516586117283
PeM15_Genus	Temperature	Temperature	0.335903193175738	0.131967839219451	594	92	0.0111708919465884	0.0508426541569049
Brevifollis	Antibiotics	Antibiotics	-0.476739400723101	0.188187003359116	594	113	0.0115567830705963	0.051920261432349
Sphaerotilus	Timepoint	Timepoint	0.0112326604382928	0.00443183458844076	594	107	0.0115173315292688	0.051920261432349
Cellvibrio	Antibiotics	Antibiotics	0.663943475398555	0.262031256919377	594	360	0.0115403213501979	0.051920261432349
Blastomonas	Timepoint	Timepoint	-0.0042601633427633	0.00167984070365604	594	35	0.0114682580256964	0.051920261432349
Methylorubrum	Timepoint	Timepoint	-0.00596423969703979	0.00235445353276647	594	47	0.0115618159365385	0.051920261432349
Reyranella	Temperature	Temperature	0.37541848077414	0.148355221329898	594	134	0.0116480917055683	0.0521685809366408
Nannocystis	Timepoint	Timepoint	0.00382627677352911	0.00151367187619497	594	28	0.0117379315049012	0.0524315030616806
Ruminiclostridium	Timepoint	Timepoint	0.00247350058637148	0.00097908842890888	594	8	0.0117869935890448	0.0525113682644219
Microscillaceae_Genus	Temperature	Temperature	0.30825427811022	0.12270020641552	594	76	0.0122623900300073	0.0544851314262064
Armatimonadaceae_Genus	Timepoint	Timepoint	0.00730641658381696	0.00292833677305686	594	58	0.0128657697785993	0.0570156744925295
Flavihumibacter	Antibiotics	Antibiotics	0.25170739366899	0.101201807909205	594	46	0.0131516061658973	0.0581294088802391
Vampirovibrionaceae_Genus	Temperature	Temperature	0.381714365076974	0.15421689798008	594	115	0.0135972287796983	0.0597852043472898
Flavihumibacter	Pathogen	Pathogen	0.250383697717533	0.101155503365513	594	46	0.0135950834469094	0.0597852043472898
Chitinibacter	Timepoint	Timepoint	-0.0124824521952011	0.00506455459824452	594	196	0.0139982833843467	0.0612288551149085
Candidatus_Accumulibacter	Antibiotics	Antibiotics	0.0514851601987751	0.0208834439764298	594	6	0.0139716941135351	0.0612288551149085
Stella	Pathogen	Pathogen	-0.0545917893076122	0.022160527358815	594	7	0.0140447183824681	0.0612728128395757
CL500.3	Timepoint	Timepoint	0.00138568260624832	0.000563485706699854	594	5	0.0142139965425551	0.0618510857303947
Lutispora	Pathogen	Pathogen	-0.0778895079219801	0.0317546177059072	594	7	0.014461562358049	0.0627661623993673
Vibrio	Antibiotics	Antibiotics	0.550681321757498	0.225080646556859	594	184	0.0147125347399204	0.0636912814962106
Turneriella	Pathogen	Pathogen	-0.29215351667046	0.11951089664431	594	69	0.0147942984872267	0.0638810221858711
Pararhodobacter	Pathogen	Pathogen	0.0434155393847198	0.0177699123141379	594	8	0.0148500569551253	0.0639577900573683
Acetivibrio	Temperature	Temperature	0.0470341842238011	0.0192737310811653	594	6	0.0149677279704403	0.064300137505667
Sphingorhabdus	Timepoint	Timepoint	-0.0143744005744285	0.00589910290125515	594	218	0.0151166891723663	0.0646291785875458
Leuconostoc	Timepoint	Timepoint	-0.00334760343021466	0.00137388107185857	594	22	0.0151210786006491	0.0646291785875458
Halomonas	Antibiotics	Antibiotics	0.224742244668629	0.0925581572806989	594	48	0.0154758005669476	0.0659778434297211
Aeromonas	Pathogen	Pathogen	0.242823980411165	0.100244879824138	594	594	0.0157229816859827	0.0668623766646333
Permianibacter	Temperature	Temperature	0.152780134400919	0.0632804343740727	594	23	0.0160678039016668	0.0681566291446018
Halomonas	Temperature	Temperature	-0.223895851772835	0.0928802503700841	594	48	0.0162321898258606	0.0686809237858023
Pseudoduganella	Pathogen	Pathogen	0.463118705647833	0.192433387214539	594	110	0.0164066681244239	0.0692451857682453
Altererythrobacter	Timepoint	Timepoint	-0.00492661040689752	0.00205623648378379	594	41	0.0168890121602034	0.0711027411944563
Anaerovorax	Timepoint	Timepoint	0.000902708269800525	0.0003769809404635	594	5	0.0169512922060503	0.0711869727555828
Shewanella	Temperature	Temperature	-0.605117749041506	0.253103923764967	594	537	0.0171253023760721	0.0715608168766884
Candidatus_Nomurabacteria_Genus	Timepoint	Timepoint	0.000709332452698824	0.00029666249113992	594	4	0.0171135661169902	0.0715608168766884
Rhodovastum	Temperature	Temperature	0.337602871081531	0.141276591865595	594	145	0.0171774989465771	0.0716012579852373
Eremiobacteria_Genus	Pathogen	Pathogen	-0.258227850966664	0.108356581591839	594	44	0.0174821527270881	0.0726912226973244
Ottowia	Temperature	Temperature	0.0398710292867028	0.0167528052051362	594	5	0.0176317316216606	0.0731326011105333
Fluviicoccus	Timepoint	Timepoint	0.00166351264640499	0.000700598269076528	594	6	0.0178961295821549	0.074046885052454
Paracoccaceae_Genus	Antibiotics	Antibiotics	-0.469306186092966	0.198564810200931	594	551	0.018427406611454	0.0760582174845308
Beijerinckiaceae_Genus	Pathogen	Pathogen	-0.350098510079144	0.148542083596697	594	122	0.0187546627132772	0.077188891367753
Alphaproteobacteria_Genus	Antibiotics	Antibiotics	-0.157354937177396	0.0668112033720009	594	27	0.0188388565036499	0.077188891367753
Candidatus_Berkiella	Pathogen	Pathogen	0.226373389287724	0.0960934226333571	594	41	0.0188114670969991	0.077188891367753
Babeliaceae_Genus	Timepoint	Timepoint	0.00181342661144861	0.00077124083305355	594	10	0.0190359632482896	0.077807189587669
Dongia	Temperature	Temperature	0.029938544108324	0.0127455944604549	594	4	0.0191567870394994	0.078111451270017
Noviherbaspirillum	Pathogen	Pathogen	-0.119891945125751	0.0514612958882081	594	12	0.0201564093843181	0.0819888729545692
RBG.13.54.9_Genus	Antibiotics	Antibiotics	0.0639378625047365	0.0274554785764153	594	8	0.020207956161706	0.0820004775332841
OLB12	Antibiotics	Antibiotics	0.226596861082366	0.0973980571031054	594	38	0.0203300488580886	0.0822976016274546
Bosea	Temperature	Temperature	-0.509069704835896	0.219148909188114	594	476	0.0205221040749409	0.0827867087942764
DEV114	Timepoint	Timepoint	0.00191616518985477	0.000825065724905304	594	8	0.0205491949382468	0.0827867087942764
Staphylococcus	Pathogen	Pathogen	0.184487083222	0.0795548522388036	594	31	0.0207367249123772	0.0833428275714633
env.OPS_17_Genus	Temperature	Temperature	0.680948267247425	0.29447566021085	594	223	0.021098992965369	0.0845969146516226
Candidatus_Paracaedibacter	Antibiotics	Antibiotics	-0.0960627660355299	0.0417366220176782	594	23	0.0217034550966926	0.0868138203867703
Simkaniaceae_Genus	Timepoint	Timepoint	0.00265158712477633	0.00115257134163164	594	15	0.0217636659902106	0.0868483732879496
Aquicella	Timepoint	Timepoint	0.00113090130990655	0.000492593745234455	594	5	0.0220371689430775	0.0875934260774531
Bradyrhizobium	Temperature	Temperature	-0.417206703497991	0.181749007862431	594	162	0.0220544018152257	0.0875934260774531
Bdellovibrio	Antibiotics	Antibiotics	-0.359899454020029	0.157387931113164	594	111	0.0225671214751537	0.0894189001509619
DEV114	Temperature	Temperature	0.084003000265894	0.036792133978365	594	8	0.0227752096135666	0.0900315797869626
Verrucomicrobiales_Genus	Pathogen	Pathogen	-0.0879514711485651	0.0386517762031499	594	6	0.0232353075275318	0.0916352643474554
Candidatus_Accumulibacter	Temperature	Temperature	0.0474342835037692	0.0209561162636164	594	6	0.0239675864729633	0.0943023729450237
Caulobacter	Antibiotics	Antibiotics	0.274314517980879	0.121461875737154	594	63	0.0242831739809448	0.0950177066839212
Verrucomicrobiales_Genus	Temperature	Temperature	0.0876303728898458	0.0388040351561338	594	6	0.0242932915402923	0.0950177066839212
Gloeocapsa_PCC.7428	Timepoint	Timepoint	-0.0017976509251717	0.000796169238596998	594	13	0.0243186648341865	0.0950177066839212
A21b_Genus	Timepoint	Timepoint	0.0019067109079446	0.000846041844230167	594	5	0.0245829280556369	0.09582789547614
Rhizorhabdus	Pathogen	Pathogen	0.10926883467885	0.0486318660037431	594	7	0.0250187121850718	0.0973014118236973
Rhodococcus	Pathogen	Pathogen	0.353008022423429	0.157206492272724	594	143	0.0251057597404385	0.0974149755827154
Bosea	Pathogen	Pathogen	-0.487872591187983	0.218289014506381	594	476	0.0257924930263141	0.099849559209915
Micavibrionales_Genus	Pathogen	Pathogen	0.0820366473394667	0.0367236361198076	594	11	0.0258647194664485	0.099899512801604
Dinghuibacter	Temperature	Temperature	0.480279597601891	0.215087516234284	594	242	0.0259271868687871	0.0999116308627861
Stella	Timepoint	Timepoint	0.0011131535640339	0.000498908717106564	594	7	0.0260450281927815	0.100136592412429
NS9_marine_group_Genus	Antibiotics	Antibiotics	-0.416965773025147	0.187038453133549	594	116	0.0261699464874952	0.100387676275494
Kinneretia	Pathogen	Pathogen	0.12632154924998	0.056689288839816	594	11	0.0262362842643203	0.100413415229808
Dongia	Antibiotics	Antibiotics	0.0281287119624078	0.0127013948821865	594	4	0.0271684334955951	0.103745219969574
Verrucomicrobiales_Genus	Antibiotics	Antibiotics	-0.085514219878534	0.0386694692875638	594	6	0.0273903851602519	0.103976754725663
CM1G08	Pathogen	Pathogen	0.0714906233029777	0.0323265155139171	594	7	0.0273832786693781	0.103976754725663
Hassallia	Antibiotics	Antibiotics	-0.405135367926247	0.183230394861044	594	106	0.0274142987518968	0.103976754725663
Peptoniphilus	Timepoint	Timepoint	-0.00217331575308278	0.000985929524303964	594	14	0.0278869672159132	0.105531804026063
Runella	Antibiotics	Antibiotics	-0.516239152062061	0.23452542202935	594	141	0.0281084683579659	0.106131526266401
Devosia	Temperature	Temperature	0.413495079671078	0.188190532756121	594	141	0.0283937543631161	0.106968864312052
Mariniblastus	Temperature	Temperature	0.0599997221624456	0.0273200201076571	594	8	0.028468017404486	0.107009243993648
Dongia	Pathogen	Pathogen	-0.027859600353457	0.0126955834020714	594	4	0.0285940621974585	0.107243654210513
Hyphomicrobiales_Incertae_Sedis_Genus	Temperature	Temperature	0.503832849208076	0.230045031495143	594	267	0.0289048064221496	0.107689588528539
Corynebacterium	Pathogen	Pathogen	0.0804654713934095	0.0367323373173907	594	7	0.028872705293344	0.107689588528539
Flectobacillus	Timepoint	Timepoint	-0.00430561316546899	0.00196473600922722	594	31	0.0288103880073078	0.107689588528539
Vampirovibrio	Timepoint	Timepoint	0.000557430895055018	0.00025504054969565	594	4	0.0292338523754781	0.108435699119615
PeM15_Genus	Antibiotics	Antibiotics	0.287449243395927	0.131510196944971	594	92	0.0292264668028689	0.108435699119615
Caedibacter	Antibiotics	Antibiotics	-0.134684170538905	0.061704979169817	594	22	0.0294512422772364	0.109001960428277
X37.13_Genus	Pathogen	Pathogen	-0.0783945176015478	0.0359754381151113	594	11	0.0297188771008843	0.109751291749757
Spirosomataceae_Genus	Temperature	Temperature	-0.0952928613892008	0.0438348753322447	594	9	0.0301097718728792	0.110951544494373
Thermoactinomycetaceae_Genus	Timepoint	Timepoint	0.000459282091065476	0.000211544323747272	594	3	0.030322826993279	0.111492665189262
IMCC26207	Antibiotics	Antibiotics	0.339763484629666	0.156768742314337	594	146	0.0306126752486771	0.112237663266851
Fluviicola	Pathogen	Pathogen	-0.461142351164692	0.212832659277825	594	166	0.030658744122774	0.112237663266851
Candidatus_Nomurabacteria_Genus	Temperature	Temperature	0.0285513356474132	0.0132290625957444	594	4	0.0313134952090984	0.113931203926774
Pseudoalteromonas	Timepoint	Timepoint	-0.00223164046945247	0.00103408145992859	594	15	0.0313243155689408	0.113931203926774
Hathewaya	Timepoint	Timepoint	-0.00170462218288516	0.000789264852277945	594	11	0.031194127198495	0.113931203926774
Phaselicystis	Temperature	Temperature	-0.174302540206922	0.0808552117514895	594	32	0.0315085675941366	0.114354370320099
Rhodococcus	Temperature	Temperature	-0.339944470722637	0.157825767717918	594	143	0.0316512573593154	0.114531412410431
Altererythrobacter	Pathogen	Pathogen	-0.196677386793544	0.0913339119816405	594	41	0.0316933718427915	0.114531412410431
Granulosicoccus	Timepoint	Timepoint	-0.0013828345551443	0.000643298753189214	594	9	0.03199353875342	0.115368563727536
