Contrast	Total_Genes	Significant_Genes	Upregulated	Downregulated
A_plus_T_minus_P_plus_vs_A_minus_T_minus_P_plus	20648	49	26	23
A_minus_T_plus_P_plus_vs_A_minus_T_minus_P_plus	20648	137	93	44
A_plus_T_plus_P_plus_vs_A_minus_T_minus_P_plus	20648	18	5	13
