Contrast	Total_Genes	Significant_Genes	Upregulated	Downregulated
A_plus_T_minus_P_plus_vs_A_minus_T_minus_P_plus	20672	55	33	22
A_minus_T_plus_P_plus_vs_A_minus_T_minus_P_plus	20672	132	95	37
A_plus_T_plus_P_plus_vs_A_minus_T_minus_P_plus	20672	22	6	16
