gene	log2FoldChange	padj	baseMean	pvalue	stat
LOC100147849	-19.609733361950607	2.413040509890075e-21	17.83393900975371	1.1721185747753802e-25	-10.471148761005429
si:ch211-125e6.14	-24.45007353829702	2.893647605846569e-14	718.6300265851447	2.811140628402943e-18	-8.718820803729217
ncoa7a	3.3912901302569107	5.635556181447664e-6	671.5322786345588	8.212303174014179e-10	6.140768814578405
snapc1a	16.825002368116824	2.3468693922126164e-5	12.919306169689012	4.559905556346464e-9	5.862485094363845
adad2	16.570110090763787	3.513469744565391e-5	5.992560882819526	8.53322423025548e-9	5.757572266247895
LOC137491340	19.182500597582326	7.123034347529344e-5	12.445300201428811	2.0759802829541004e-8	5.605547207502967
LOC110438438	-9.786774608937776	1.390950329689448e-4	157.53198949304996	4.729514891837633e-8	-5.461190768236178
LOC101882847	-6.613750828668035	2.367838375770201e-4	113.02048597554567	9.201295480721624e-8	-5.34182994281954
LOC141379337	-9.32079376288476	4.924312771701102e-4	68.82541541523689	2.1527573199256772e-7	-5.185638758979507
LOC141379345	-9.975113049332535	7.28951306727635e-4	47.83629674872978	3.5408330826620444e-7	-5.092119232031811
pla2g3	-4.772867462811778	0.0013976132446508567	143.10359829181743	7.467695968892711e-7	-4.948788184995965
LOC141379342	-5.802804374160076	0.0037026956487231687	39.78151791217171	2.158272103010542e-6	-4.73800995697368
ccl35.1	-3.472756806338126	0.005930150722686846	64.75409880237477	3.744691280659105e-6	-4.625071540993511
ankrd66	18.068067125578427	0.0070264712259641045	4.676122479861373	5.119593354517975e-6	4.559826367033947
si:dkey-3k24.8	3.162215152233853	0.0070264712259641045	111.69784588895477	4.863771675286974e-6	4.570579583786858
si:ch211-194p6.12	-5.639623264170807	0.007479407947566876	179.58813452552002	5.812917237143344e-6	-4.533082230105229
LOC101884348	-7.138779390272438	0.010992449755789195	17.402697338709963	9.077167428397353e-6	-4.438063899513047
LOC137487211	2.7046292024697705	0.012313154629425355	36.19400751819665	1.136396453874201e-5	4.389446280300905
LOC137489722	-7.139493569980097	0.012313154629425355	64.71636845248288	1.103908527335548e-5	-4.395750149883697
f2r	-2.75462361404868	0.013412441839730775	36.78686144757312	1.454926538056852e-5	-4.3354040106161555
LOC101887036	-2.6391422926200843	0.013412441839730775	30.999535678516953	1.4984512668859368e-5	-4.32891591565901
LOC141379353	-7.034086703949784	0.013412441839730775	42.76414282207569	1.4626480216356779e-5	-4.334239604189008
LOC141382111	19.715088429785293	0.013412441839730775	7.136063313479681	1.3397208669147822e-5	4.353514734038867
slc7a1b	-1.8909484808467414	0.014217113477210424	173.66535816769473	1.657408672720893e-5	-4.3066562510653155
adam12b	-2.371646054936081	0.026458016420191546	24.62678536801742	3.212951913852376e-5	-4.157822727297868
LOC141378311	-6.980400749912031	0.0316336099686372	13.378432720275939	3.995112737089266e-5	-4.107762112112401
mcfd2	-1.5898742525971197	0.032955271135189784	1521.4641072809486	4.32210774105078e-5	-4.0895500647535075
LOC137490512	18.346408272457822	0.033473318425410514	11.611477747583246	4.877833354846823e-5	4.061404681829548
rcn3	-3.7947268121441335	0.033473318425410514	1082.859412160586	4.825312447054112e-5	-4.063930860637811
tat	-4.8729661007527225	0.033473318425410514	2297.953217599206	4.6268057053024385e-5	-4.073720234600536
LOC137496184	5.249707703033756	0.03524437182557519	14.372841449778068	5.307113841709967e-5	4.041673297958243
LOC110438351	-5.197775180168961	0.03997277055304634	14.260696179656003	6.240315866091045e-5	-4.003534262340327
odc1	2.729415807114014	0.03997277055304634	2421.733450357395	6.457680081406689e-5	3.995430496558072
phldb1a	0.8480987390337186	0.03997277055304634	446.9846384632793	6.667734200618722e-5	3.9878409404173114
slc43a1a	-1.9854485020575658	0.03997277055304634	246.44576413415524	6.795778740742323e-5	-3.983324759359964
dio2	-3.621853631350596	0.040699188921116736	1895.3058153514432	7.116970909604132e-5	-3.9723411028885023
cxcl18b	-2.341286467871821	0.04338068205040618	287.42931341336777	7.796596084252337e-5	-3.9505679416030026
cyp7a1b	-1.271207427685306	0.04681234826637924	247.68935562803944	8.910911745282576e-5	-3.9184800110931066
dpys	-4.856918528706237	0.04681234826637924	323.11521466277037	8.679144736096318e-5	-3.9248287800806074
slc41a1	-2.977131976579054	0.04681234826637924	863.948804079681	9.322904157582693e-5	-3.907569985340562
znf1069	-2.1883898584132355	0.04681234826637924	190.3840919123809	9.124503286392394e-5	-3.9127657603509687
pnp5a	-3.282438130696556	0.04763629287780015	2211.5714047735446	9.718386850282247e-5	-3.897517333107858
