feature	Oleiharenicola	X0319.6G20_Genus	Planifilum	Hyphomicrobiales_Incertae_Sedis_Genus	Legionella	Craurococcus	Pseudorhodoplanes	Blastococcus	Pedosphaeraceae_Genus	Phreatobacter	Fluviicoccus	Caulobacter	Candidatus_Paracaedibacter	Dechloromonas	Rickettsiaceae_Genus	Chitinophagales_Genus	Culicoidibacter	Clostridium	Gammaproteobacteria_Genus	SWB02	Noviherbaspirillum	Crenobacter	Variovorax	Parachlamydiaceae_Genus	Streptococcus	Gemmata	X37.13_Genus	Haliangiaceae_Genus	Paracaedibacteraceae_Genus	Lutispora	Beijerinckiaceae_Genus	Comamonadaceae_Genus	Piscinibacter	Siminovitchia	Nitrospira	Rhodococcus	Frankiales_Genus	Pseudobdellovibrionaceae_Genus	Phaselicystis	Roseomonas	env.OPS_17_Genus	Paracoccus	Pirellulaceae_Genus	Pseudomonas	Hyphomicrobiales_Genus	Pedomicrobium	Reyranella	JGI_0001001.H03	Rhodocyclaceae_Genus	Candidatus_Bealeia	Luteolibacter	Cytophagales_Genus	Nocardia	Gemmataceae_Genus	Aeromonas	Candidatus_Protochlamydia	Enterobacterales_Genus	Micrococcus	Arthrobacter	Sphingorhabdus	SH.PL14	Planctomycetes_Genus	Paracoccaceae_Genus	Jeotgalicoccus	Nocardioides	Lysobacter	Luteimonas	Burkholderiales_Genus	Candidatus_Megaira	Bacillota_Genus	Terrimonas	Fimbriiglobus	Leuconostoc	Kinneretia	Blastocatellaceae_Genus	Aquihabitans	Caldilineaceae_Genus	Pirellula	Burkholderia.Caballeronia.Paraburkholderia	bacteriap25_Genus	Brevifollis	Granulosicoccus	Pajaroellobacter	IS.44	Bacteroidia_Genus	Sphaerotilus	Sandaracinaceae_Genus	Marmoricola	Emticicia	NS9_marine_group_Genus	Hyphomicrobium	Fusobacteriaceae_Genus	Cytophaga	Gracilibacteria_Genus	Verrucomicrobiaceae_Genus	Armatimonadaceae_Genus	Anaerovorax	Microscillaceae_Genus	Paludibaculum	NS11.12_marine_group_Genus	Xanthobacteraceae_Genus	Vampirovibrionaceae_Genus	Granulicatella	Flavobacterium	Sphingomonas	Devosia	Saprospiraceae_Genus	Staphylococcus	Leeia	Chlamydiales_Genus	Agitococcus	Microtrichaceae_Genus	Ensifer	Paucibacter	Cloacibacterium	Telmatocola	Rhizobium	Paenirhodobacter	Nitrosomonas	Novosphingobium	Gemmatimonadaceae_Genus	Candidatus_Berkiella	Pseudobdellovibrio	Chitinibacter	Aeromicrobium	Polyangiia_Genus	P3OB.42	Roseicella	A21b_Genus	Moraxellaceae_Genus	Blastocatella	Cetobacterium	Gaiellales_Genus	Shinella	Sutterellaceae_Genus	Meiothermus	Fluviicola	Niveibacterium	Vibrionaceae_Genus	Exiguobacterium	Chitinilyticum	AAP99	SM2D12_Genus	Rickettsiella	Acinetobacter	Eremiobacteria_Genus	Candidatus_Ovatusbacter	Shewanella	Bosea	Bryobacteraceae_Genus	Pectobacteriaceae_Genus	X11.24_Genus	JG30.KF.CM45_Genus	Runella	Tetragenococcus	Sphingomonadaceae_Genus	Abditibacterium	Oligoflexaceae_Genus	Enterovirga	Stagnimonas	Rhizorhapis	Rubrivivax	Mycobacterium	Neochlamydia	Blfdi19_Genus	Lonsdalea	Chryseotalea	Ga0077536_Genus	Verrucomicrobiia_Genus	Actinobacteria_Genus	Opitutaceae_Genus	Pseudomonadota_Genus	Pasteurella	Chryseobacterium	Gemmobacter	Kineosporiaceae_Genus	Microtrichales_Genus	Bdellovibrio	Rhodovastum	Sphingopyxis	Rhizobiaceae_Genus	Cellvibrio	Obscuribacteraceae_Genus	Marinomonas	Synechococcus_PCC.7902	cvE6_Genus	Pseudoduganella	Pir4_lineage	Agromyces	Planctomycetota_Genus	mle1.27_Genus	IMCC26207	Dyadobacter	Agriterribacter	Brevundimonas	Thermoleophilia_Genus	MBNT15_Genus	Undibacterium	Ligilactobacillus	Aeromonadaceae_Genus	Stella	Vibrio	Neisseriaceae_Genus	OM190_Genus	TM7a	Geodermatophilaceae_Genus	Caedibacter	Leucobacter	Parvibium	Pseudolysobacter	Dinghuibacter	WY65	Glutamicibacter	Sediminibacterium	BIrii41_Genus	Rothia	alphaI_cluster	Lysobacteraceae_Genus	Pseudoxanthomonas	Vampirovibrionales_Genus	Chitinophagaceae_Genus	Armatimonas	Kapabacteriales_Genus	Chlamydiaceae_Genus	Phenylobacterium	Alphaproteobacteria_Genus	Candidatus_Alysiosphaera	Bacillaceae_Genus	Gordonia	Alicyclobacillus	Deinococcus	PeM15_Genus	LWQ8_Genus	Fimbriimonadaceae_Genus	Gemmatimonas	TRA3.20_Genus	Bacilli_Genus	Tundrisphaera	KD4.96_Genus	Curvibacter	PMMR1	Bradyrhizobium	OLB17	Vicinamibacteraceae_Genus	Flavihumibacter	Anaerocolumna	Longivirga	Rhodospirillales_Genus	Holosporaceae_Genus	Pontibacter	SH3.11	Kineococcus	Sphingobium	CL500.3	Ruminiclostridium	Chromobacteriaceae_Genus	Aquabacterium	Myxococcaceae_Genus	Barnesiellaceae_Genus	Pyrinomonadaceae_Genus	Candidatus_Abawacabacteria_Genus	Aerococcaceae_Genus	Candidatus_Obscuribacter	Serinicoccus	Oscillospiraceae_Genus	Babeliaceae_Genus	Opitutus	X67.14_Genus	Malacoplasma	Blastomonas	Cypionkella	Paraconexibacter	Elstera	Defluviimonas	Ellin6055	Massilia	Thermomicrobiales_Genus	Thermodesulfobacteriota_Genus	Paraclostridium	Micromonospora	Alcaligenaceae_Genus	Pseudomonadales_Genus	Hyphomicrobiaceae_Genus	Methylorubrum	Brevitalea	Sporichthyaceae_Genus	Psychromonas	Rubritaleaceae_Genus	Campylobacterales_Genus	Fusobacteriales_Genus	Stenotrophomonas	Adhaeribacter	Thermoactinomycetaceae_Genus	Nevskiaceae_Genus	Simkaniaceae_Genus	OLB12	RBG.13.54.9_Genus	Hirschia	Plesiomonas	Knoellia	Lactococcus	Unknown_Family_Genus	Thermus	Rheinheimera	Sporomusaceae_Genus	Acidiferrimicrobium	Chitinimonas	Frisingicoccus	Raineya	NB1.j_Genus	Altererythrobacter	Rhodopseudomonas	Methylobacterium	Vampirovibrio	Acidovorax	Kocuria	Polyangiales_Genus	Elsteraceae_Genus	Peptoniphilus	Bacillus	Methyloligellaceae_Genus	Mesorhizobium	Micavibrionales_Genus	Veillonellales.Selenomonadales_Genus	Pseudorhizobium	Mariniblastus	Azospira	Rhodospirillaceae_Genus	Hassallia	Nannocystis	Isosphaeraceae_Genus	Fuscovulum	Aureimonas	Vermiphilaceae_Genus	Turneriella	Polyangiaceae_Genus	Permianibacter	Geodermatophilus	Hyphomonadaceae_Genus	Nordella	Delftia	Sandaracinus	Actinoplanes	Corynebacterium	Haliscomenobacter	Latilactobacillus	Ferruginibacter	Flectobacillus	Desulfotomaculum	Anaerospora	Thermobrachium	Peptostreptococcaceae_Genus	Romboutsia	Babeliales_Genus	Pediococcus	Lactobacillaceae_Genus	AKYH767_Genus	Bordetella	Acidibacter	Hydrogenophaga	Bacteroidales_Genus	Intrasporangiaceae_Genus	Aurantisolimonas	Acetobacteraceae_Genus	SM1A02	Perlucidibaca	Coxiella	Acetivibrio	Anaerotaenia	Vogesella	CL500.29_marine_group
f76	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	5347	0	35	0	0	2165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	673	0	0	0	0	0	0	0	11	0	7	16260	0	0	0	0	0	2	0	233	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	11	1211	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	21934	0	0	0	0	0	0	0	0	1725	0	0	0	0	0	0	438	33	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	3	0	9	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	3	0	0	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f77	0	0	0	8	26	0	0	0	10	187	0	0	0	129	0	0	2704	13	218	0	0	3834	0	0	0	13	0	117	0	0	0	12	0	0	0	0	0	0	0	57	32	0	0	1273	2	14	3	0	0	0	0	368	0	18	23050	0	0	0	0	0	8	0	618	0	0	0	58	5	0	0	0	25	0	0	0	16	0	16	0	0	0	0	0	0	67	115	0	0	7	0	0	0	10	0	0	0	0	0	0	0	0	0	0	124	0	0	30	0	0	0	20	0	26	2251	0	11	43	314	24	0	0	0	0	0	0	3	0	9	0	0	0	8143	0	0	12	0	37	10	0	0	885	0	0	0	0	5	0	320	62	0	0	0	3	0	0	0	0	0	0	0	0	0	39	8	0	0	49	0	21	0	0	0	0	0	246	0	0	7	0	0	0	111	0	0	0	3	0	0	358	0	0	0	0	0	0	0	3	43	0	0	0	0	0	22	0	0	0	0	0	3	0	3	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	5	0	0	0	0	0	12	0	19	0	111	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	365	0	0	0	0	8	0	0	0	0	0	0	0	23	0	0	12	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0
f78	0	0	0	0	21	0	0	4	0	175	0	0	0	0	0	0	5303	0	121	0	0	845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	497	5	0	3	0	0	0	0	22	0	7	26073	0	0	0	0	0	7	0	402	0	0	0	0	4	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	13	2875	0	0	0	343	0	0	0	0	0	0	0	0	0	8	0	0	0	17466	0	0	0	0	65	3	0	0	263	0	0	0	0	0	0	159	53	0	0	0	5	0	0	0	0	0	0	0	0	0	31	7	0	0	0	0	20	0	0	0	0	0	118	0	0	0	0	0	0	7	0	0	0	0	0	0	357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f79	0	0	0	0	25	0	0	6	0	158	0	0	0	0	0	0	8101	0	256	0	0	6997	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	2	0	28	0	0	0	987	0	0	12	0	0	0	0	134	0	20	10369	0	3	0	0	0	9	0	698	0	0	0	0	0	0	6	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	6	0	29	6266	0	0	0	167	0	0	0	0	0	0	0	0	0	10	0	0	0	16126	0	0	0	0	107	0	0	0	316	0	0	0	0	0	0	103	125	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	101	0	0	0	0	0	201	0	0	0	0	0	0	34	0	0	0	7	0	0	841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	289	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f80	7	5	0	37	112	0	0	0	261	345	0	11	4	1680	0	0	2197	528	201	0	0	1928	0	0	5	19	0	662	0	0	0	143	0	0	28	0	0	84	7	55	178	0	0	1472	0	22	16	0	28	0	0	2700	41	58	23906	0	0	0	0	82	36	0	927	0	0	0	25	8	0	0	16	65	0	0	0	37	0	22	0	0	9	0	0	0	117	140	21	0	8	0	5	0	57	18	0	0	0	10	0	0	0	0	0	378	0	22	117	0	0	0	272	0	72	1778	55	22	138	227	40	0	0	0	3	0	0	28	0	0	0	0	7	9539	0	0	36	0	113	146	0	0	563	0	0	0	0	9	0	156	57	0	0	9	3	43	0	0	0	0	0	0	0	0	449	0	0	0	655	0	26	0	0	0	0	0	459	0	0	153	0	0	59	104	16	0	0	0	0	2	284	0	0	0	0	0	0	0	0	333	0	0	0	13	0	85	0	0	0	0	0	0	153	9	0	71	7	0	0	0	0	0	0	0	5	0	0	2	0	0	160	0	12	0	0	0	0	0	0	442	0	0	0	81	0	6	0	0	4	0	7	0	0	0	0	0	0	0	49	0	0	0	0	0	87	0	0	0	0	4	21	0	0	0	1398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	8	257	0	0	0	0	5	110	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	38	0	0	11	0	0	0	0	10	0	0	0	0	252	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0
f376	0	2	0	19	21	0	34	0	51	668	0	23	0	935	0	0	44	332	23	0	0	441	0	13	7	9	0	10	0	0	0	0	0	0	5	0	0	12	0	28	17	0	0	1725	0	25	4	0	13	0	0	30	21	322	48852	0	0	0	0	0	34	0	597	0	0	0	13	0	0	0	0	6	0	0	0	7	0	48	0	0	0	0	0	0	6	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	244	200	0	160	118	3	0	0	7	0	11	0	0	0	8	0	0	0	240	0	0	0	0	457	925	0	0	82	0	0	0	0	0	0	22	120	0	0	0	8	0	0	0	0	0	0	0	0	0	140	0	0	0	71	0	0	0	0	0	0	0	220	0	0	0	55	0	139	86	6	0	0	0	0	34	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	11	0	0	0	0	0	0	0	0	1407	0	0	0	42	0	0	0	0	13	0	9	0	15	0	0	0	0	0	10	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0
f377	15	17	0	33	33	0	31	0	122	420	0	18	0	179	0	0	46	206	24	0	0	213	0	22	0	10	0	79	3	0	0	24	0	0	0	0	0	12	0	15	166	0	0	960	0	14	7	0	0	0	0	11	41	240	54535	0	0	0	0	0	33	0	580	0	0	0	26	0	0	0	0	0	0	0	0	21	0	111	0	0	0	0	0	0	0	0	0	0	18	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	177	146	0	106	103	3	0	0	16	0	0	0	0	0	0	0	0	0	208	0	0	0	0	597	436	0	0	79	0	0	0	0	0	0	14	56	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	133	0	0	0	0	0	0	0	189	0	8	0	42	0	87	46	8	0	0	0	0	30	0	0	0	0	0	0	0	0	0	32	0	5	0	0	0	0	0	0	0	0	0	0	571	0	0	0	6	0	7	0	0	0	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1000	0	0	0	41	0	0	0	0	8	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	17	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0
f378	88	0	0	7	94	0	11	67	412	1778	0	114	0	1955	0	0	0	377	49	8	0	574	0	52	0	574	0	1900	0	0	0	181	0	0	80	0	0	6	64	67	1234	0	0	2479	0	60	31	0	0	0	0	0	0	479	1269	2	0	0	0	23	0	0	5775	0	164	0	619	25	0	0	27	0	0	0	0	21	0	12	0	0	73	0	69	0	325	94	515	0	367	5	0	0	92	45	0	0	0	0	0	0	0	0	0	292	0	0	22	0	55	0	0	0	70	4111	341	39	228	654	150	27	0	68	29	0	0	0	0	63	0	0	0	264	0	0	0	35	956	6252	0	0	0	0	3	7	0	0	0	0	130	0	0	0	28	0	0	0	0	0	0	0	0	0	384	0	0	0	1943	0	0	0	0	0	0	0	1192	0	105	121	534	0	421	246	58	0	11	0	0	36	38	0	0	0	0	0	0	0	0	234	0	0	0	0	0	37	0	16	0	0	0	0	2121	0	0	178	394	0	0	0	0	0	22	0	7	0	0	0	0	0	85	0	0	75	0	0	0	0	0	1521	0	0	0	278	0	79	0	0	282	0	34	0	0	0	0	0	0	0	13	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	8	0	0	57	0	0	321	0	0	0	0	28	26	0	0	0	117	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	155	0	0	0	0	318	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	758	0	0	0	0	0	0	0	0
f379	16	0	0	24	14	0	28	0	151	613	0	6	0	292	0	0	83	475	31	3	0	213	0	10	7	33	0	114	0	0	0	66	0	0	13	0	0	0	0	11	61	0	0	961	2	23	0	0	0	0	0	0	9	234	61630	0	0	0	0	0	38	0	384	0	0	0	128	0	0	0	0	11	0	0	0	8	0	27	0	0	2	0	3	0	0	0	3	0	102	0	0	0	10	0	0	0	9	0	0	0	0	0	0	28	0	7	0	0	0	0	0	0	85	289	95	0	119	114	27	0	0	7	0	11	0	0	0	0	0	0	0	263	0	0	0	0	190	1106	0	0	127	0	0	0	0	0	0	13	29	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	177	0	6	0	0	0	0	0	139	0	0	0	38	0	142	48	20	0	0	0	0	15	0	0	0	3	0	0	0	0	0	47	0	0	0	0	0	4	0	0	0	0	0	0	345	0	2	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	1373	0	0	0	41	0	0	0	0	5	0	0	0	10	0	0	0	0	0	16	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	6	0	0	0	229	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	5	0	0	0
f380	0	5	0	28	0	0	35	0	6	541	0	0	0	122	0	0	30	125	14	0	0	153	0	12	0	13	0	19	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1553	0	14	0	0	0	0	0	0	0	221	77041	0	0	0	0	0	16	0	416	0	0	0	9	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	17	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	169	31	0	89	108	3	0	0	0	0	16	0	0	0	0	0	0	0	261	0	0	0	0	87	296	0	0	35	0	0	0	0	0	0	12	40	0	0	0	4	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	16	0	85	23	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	3	0	0	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	673	0	0	0	11	0	0	0	0	10	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	30	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0
f406	0	0	0	13	16	0	0	0	0	135	0	0	0	244	0	0	932	17	68	0	0	799	0	3	9	3	0	0	0	0	0	0	0	0	0	0	0	12	0	8	0	0	0	863	0	0	0	0	0	0	0	0	0	16	67724	0	0	0	0	0	0	0	176	0	0	2	6	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	13	0	0	8	425	97	0	15	54	0	0	0	0	0	5	0	0	0	0	0	0	0	1767	0	0	31	0	0	577	0	0	44	0	0	0	0	0	0	248	10	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0
f407	0	0	0	0	4	0	0	0	0	86	0	0	0	0	0	0	4010	11	9	0	0	412	0	8	392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	39	0	0	0	0	0	0	0	0	5	0	61654	0	0	0	0	0	0	0	30	2	3	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	20	76	0	0	31	13	0	0	0	0	0	0	0	0	0	0	0	0	0	6384	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	213	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	434	0	30	0	0	0	0	0	0	5	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
f408	0	9	0	31	99	0	0	0	2	498	0	9	0	60	0	0	3033	0	283	0	0	2597	0	0	0	23	0	0	0	0	0	0	0	0	0	13	0	28	0	56	0	0	0	408	0	2	0	0	0	0	0	0	0	112	36623	0	6	0	0	0	16	0	565	0	0	0	0	0	0	0	0	0	0	0	0	9	0	4	0	0	0	0	0	0	0	0	0	0	7	0	4	0	0	0	0	0	0	0	0	0	0	43	0	57	0	0	0	0	0	17	0	0	41	1716	136	0	89	154	0	0	0	0	0	12	0	0	0	3	0	0	0	14454	0	0	106	0	0	86	0	0	48	0	0	0	0	0	0	218	39	0	0	0	11	0	0	0	0	0	0	0	0	0	23	4	0	0	0	0	21	0	0	0	0	0	230	0	0	0	5	0	0	4	0	0	0	0	0	3	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	13	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0
