taxa	metadata	value	coef	stderr	N	N.not.0	pval	qval	comparison_name	base_treatment	comparison_treatment
Vogesella	Treatment	A- T- P+	3.50827649868233	0.606518449172182	236	74	2.38598621895803e-8	2.1545455557191e-6	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Polyangiia_Genus	Treatment	A+ T- P+	-1.08727558972352	0.188758608919422	236	13	2.70381405923345e-8	2.36278460853658e-6	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Flavobacterium	Treatment	A- T+ P-	-3.60817976604208	0.628065340016516	236	185	2.92508624051855e-8	2.47626832048898e-6	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Paracoccaceae_Genus	Treatment	A+ T- P+	-2.92769763915424	0.511132372713528	236	224	3.19380139989276e-8	2.62182060373015e-6	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Agromyces	Treatment	A+ T- P-	-3.38076738299594	0.592387039747936	236	75	3.55524168724735e-8	2.83269109728031e-6	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Roseomonas	Treatment	A+ T- P+	-3.35942545593651	0.589596444510892	236	181	3.72694986516016e-8	2.88465919563397e-6	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Culicoidibacter	Treatment	A- T+ P+	-3.52425862094234	0.620768650268395	236	229	4.14174676464878e-8	3.1166644403982e-6	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Polyangiia_Genus	Treatment	A- T+ P+	-1.08727558972352	0.193192865041679	236	13	5.32718558821415e-8	3.90036371850598e-6	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Agromyces	Treatment	A- T+ P+	-3.25987251595739	0.582201976172558	236	75	6.1636009872635e-8	4.39399870381495e-6	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Acetivibrio	Treatment	A+ T+ P+	0.501918435891517	0.0901787670151609	236	6	7.29806189708622e-8	5.06934607159143e-6	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Pseudomonas	Treatment	A- T- P+	1.88703823029408	0.339919962159883	236	236	7.84770346771563e-8	5.31485717351041e-6	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Polyangiia_Genus	Treatment	A+ T- P-	-1.08727558972352	0.196572588390773	236	13	8.68976934869612e-8	5.74160613795556e-6	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Rhodocyclaceae_Genus	Treatment	A+ T+ P+	2.68061050652029	0.487536889034015	236	66	1.02484062993734e-7	6.61022206309583e-6	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Pseudomonas	Treatment	A+ T+ P+	2.06382445358147	0.378016724702827	236	236	1.24302006711862e-7	7.83102642284731e-6	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Vibrio	Treatment	A+ T- P+	3.54894189581321	0.651915537276712	236	65	1.34428858644325e-7	8.27654041062445e-6	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Rhodocyclaceae_Genus	Treatment	A- T- P+	2.38347509996359	0.438402615657471	236	66	1.39282922269535e-7	8.38483192062601e-6	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Rubrivivax	Treatment	A- T+ P+	3.0676704775232	0.565223059978788	236	118	1.45907075847433e-7	8.59265801023251e-6	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Vampirovibrionaceae_Genus	Treatment	A- T- P+	3.09186396573797	0.571781858109721	236	111	1.61053796563662e-7	9.08947364356165e-6	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Candidatus_Megaira	Treatment	A- T- P+	2.2073538697975	0.408007556080833	236	64	1.58946868117864e-7	9.08947364356165e-6	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Legionella	Treatment	A+ T- P+	-3.46853218602315	0.642660240297921	236	150	1.69440795260743e-7	9.36765539512966e-6	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Legionella	Treatment	A- T+ P-	-3.75694366936158	0.696779637790219	236	150	1.73915982796774e-7	9.4227679479292e-6	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Candidatus_Nomurabacteria_Genus	Treatment	A+ T+ P-	0.395552325172614	0.0739293977591564	236	4	2.13289076337968e-7	1.13294138784226e-5	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Rubrivivax	Treatment	A+ T+ P+	3.21936716726911	0.605668961174843	236	118	2.53184357431657e-7	1.31094806380072e-5	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Polyangiia_Genus	Treatment	A- T+ P-	-1.08727558972351	0.204654258822188	236	13	2.56479318499218e-7	1.31094806380072e-5	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Paenirhodobacter	Treatment	A- T- P+	-2.92018598239324	0.552370291664971	236	188	2.91277088382286e-7	1.46124006005113e-5	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Polymorphobacter	Treatment	A- T+ P+	2.35810941504866	0.447847721922924	236	63	3.22913124954979e-7	1.59049391909643e-5	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Chitinivorax	Treatment	A+ T+ P+	2.3411057152841	0.444939525175365	236	44	3.28920935113337e-7	1.59115502361077e-5	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Polyangiia_Genus	Treatment	A+ T+ P+	-1.08727558972352	0.20701724710343	236	13	3.44461436490272e-7	1.63709830079324e-5	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Gemmobacter	Treatment	A+ T- P+	-2.48058361974109	0.480380212601015	236	194	5.2694123471486e-7	2.46117897386648e-5	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Ensifer	Treatment	A- T+ P-	-3.28142028189824	0.641744433668507	236	159	6.70403119892628e-7	3.02687008631522e-5	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Candidatus_Accumulibacter	Treatment	A+ T+ P+	0.507806468741887	0.0992992541643729	236	6	6.68437611031e-7	3.02687008631522e-5	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Cloacibacterium	Treatment	A+ T- P+	-2.17220031986851	0.425136579768947	236	85	6.82819473394674e-7	3.03239008758389e-5	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Dinghuibacter	Treatment	A+ T- P+	-3.13308315128695	0.61458742530228	236	162	7.21285503169174e-7	3.15155230336337e-5	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Sphaerotilus	Treatment	A+ T- P+	-2.99292732489189	0.588742312194167	236	49	7.71700789836485e-7	3.31831339629689e-5	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Dechloromonas	Treatment	A+ T- P+	-4.07919241507309	0.806946135372377	236	192	8.82804549268017e-7	3.73674613119853e-5	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Paenirhodobacter	Treatment	A- T+ P+	-2.86428328722364	0.573256795810603	236	188	1.16201579429977e-6	4.84292428732012e-5	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Polyangiia_Genus	Treatment	A- T- P+	-0.926107270092698	0.18615391913456	236	13	1.28488370168776e-6	5.27386355738204e-5	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Paucibacter	Treatment	A- T- P+	-2.02515263823469	0.414153372422002	236	234	1.90468426785359e-6	7.58792600237557e-5	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Rhizobium	Treatment	A+ T+ P+	-2.66123658115169	0.543980694569389	236	114	1.88472740006615e-6	7.58792600237557e-5	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Aquihabitans	Treatment	A- T+ P-	-3.24852715204586	0.665505820882185	236	141	1.9811720799799e-6	7.77825386183413e-5	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Paenirhodobacter	Treatment	A+ T- P+	-2.72631373243081	0.560099128440741	236	188	2.10996867854501e-6	8.16315110746338e-5	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Gemmobacter	Treatment	A- T- P+	-2.3045749556495	0.473751421258598	236	194	2.13947481960096e-6	8.16315110746338e-5	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Chitinimonas	Treatment	A+ T+ P+	1.50989972177752	0.312533233255075	236	22	2.49157722930877e-6	9.37455932527425e-5	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Chthoniobacter	Treatment	A- T+ P+	2.01075052446302	0.416786882444841	236	43	2.56941294993253e-6	9.53498586488662e-5	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Chitinibacter	Treatment	A+ T+ P+	2.08634882225318	0.432877359528579	236	68	2.6247824439563e-6	9.60883194686164e-5	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Sphaerotilus	Treatment	A- T- P+	-2.76919461157323	0.580618226647728	236	49	3.29695506906331e-6	1.1570408544782e-4	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Paenirhodobacter	Treatment	A- T+ P-	-2.89488652744118	0.607265928977713	236	188	3.33145760979335e-6	1.1570408544782e-4	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Eremiobacteria_Genus	Treatment	A- T- P+	-1.24097610890634	0.259900796753429	236	24	3.21731175282341e-6	1.1570408544782e-4	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Plesiomonas	Treatment	A+ T- P+	-2.06394810835492	0.432835895029387	236	230	3.31124707481611e-6	1.1570408544782e-4	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Cloacibacterium	Treatment	A+ T+ P+	-2.21661848478535	0.466260081543119	236	85	3.53312241461676e-6	1.2115479267337e-4	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Neochlamydia	Treatment	A+ T+ P-	2.53240726636918	0.533659482334068	236	48	3.67375126575054e-6	1.2440240223647e-4	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Dinghuibacter	Treatment	A- T+ P-	-3.15107291908213	0.66634276829391	236	162	3.9554103093693e-6	1.3228650034668e-4	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Pirellulaceae_Genus	Treatment	A- T+ P+	1.33510521058392	0.282540977402835	236	39	4.01896355897181e-6	1.3277283269822e-4	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Halomonas	Treatment	A- T- P+	1.7599191306424	0.376373903168078	236	48	5.00962310589817e-6	1.6156034516521e-4	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Sutterellaceae_Genus	Treatment	A- T+ P-	-3.66451498553855	0.783401145818582	236	171	4.97160574662767e-6	1.6156034516521e-4	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Rhodocyclaceae_Genus	Treatment	A+ T- P+	2.07345964219059	0.444536801926386	236	66	5.27617114061489e-6	1.6815467788147e-4	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Paucibacter	Treatment	A+ T+ P+	-2.13941132147212	0.460569895256572	236	234	5.74403716473808e-6	1.8093717068925e-4	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Shewanella	Treatment	A+ T- P+	2.71393988943283	0.588477222958793	236	222	6.65419697929536e-6	2.0719792663116e-4	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Pseudomonas	Treatment	A+ T- P+	1.58679395993121	0.344676166365654	236	236	6.89476848351389e-6	2.1224917979362e-4	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Rhodospirillales_Genus	Treatment	A- T- P+	-0.365461507744614	0.0806668866785834	236	9	9.4932458897766e-6	2.8765875917504e-4	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Acinetobacter	Treatment	A- T+ P-	3.11720331593369	0.688281485477429	236	136	9.55676940780893e-6	2.8765875917504e-4	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Eremiobacteria_Genus	Treatment	A+ T- P+	-1.18614510344018	0.263537362416555	236	24	1.07934972844953e-5	3.213141114692e-4	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Acinetobacter	Treatment	A- T- P+	2.8098034008462	0.62606220230531	236	136	1.1406609628913e-5	3.3587505961657e-4	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Rhodospirillales_Genus	Treatment	A+ T- P+	-0.365461507744615	0.0817955882212915	236	9	1.24356708995919e-5	3.6223905878488e-4	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Polyangiia_Genus	Treatment	A+ T+ P-	-1.08727558972352	0.244371792490091	236	13	1.34751986689422e-5	3.8834375738472e-4	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Vampirovibrionaceae_Genus	Treatment	A+ T+ P-	3.32586951250968	0.750601213389371	236	111	1.45735819352788e-5	4.1557719434389e-4	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Cloacibacterium	Treatment	A- T+ P+	-1.91792542599086	0.435123750645169	236	85	1.6085643735391e-5	4.5391675915806e-4	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Eremiobacteria_Genus	Treatment	A+ T- P-	-1.207642775573	0.274446933914489	236	24	1.66059746308016e-5	4.6376892035919e-4	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Aurantisolimonas	Treatment	A+ T- P+	-2.89848257160137	0.660442102841016	236	180	1.74419104528387e-5	4.8214423894632e-4	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Niveibacterium	Treatment	A+ T- P+	-3.57091410466886	0.817222277516808	236	164	1.89119398411611e-5	5.1749944474449e-4	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Rhodospirillales_Genus	Treatment	A- T+ P+	-0.365461507744615	0.0837171036950506	236	9	1.92455078301491e-5	5.1980087453209e-4	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
X67.14_Genus	Treatment	A+ T+ P+	2.58441857226003	0.592242217930129	236	104	1.93798037385537e-5	5.1980087453209e-4	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Chitinivorax	Treatment	A- T+ P+	1.8091841510287	0.415226957375035	236	44	1.99342953750865e-5	5.2943143305009e-4	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Cloacibacterium	Treatment	A- T- P+	-1.82551512927581	0.41927009816668	236	85	2.01934705686881e-5	5.3110788126773e-4	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Bosea	Treatment	A+ T+ P+	-2.60274694151622	0.598757672037817	236	196	2.08078395605675e-5	5.420042054767e-4	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Sphaerotilus	Treatment	A- T+ P+	-2.61086965165093	0.602572855962337	236	49	2.20725697086709e-5	5.694722984837e-4	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Shewanella	Treatment	A+ T+ P+	2.78839365184587	0.645400680675741	236	222	2.325642295134e-5	5.943551865583e-4	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Rhodospirillales_Genus	Treatment	A+ T- P-	-0.365461507744615	0.0851816538999229	236	9	2.63639135737343e-5	6.6747515767519e-4	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Crenobacter	Treatment	A- T+ P+	-2.02617164771861	0.473328696168583	236	235	2.74490467757648e-5	6.8428595701537e-4	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Piscinibacter	Treatment	A- T+ P+	-0.69619797172239	0.162664943049438	236	14	2.75331005222134e-5	6.8428595701537e-4	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Bacteroidia_Genus	Treatment	A+ T- P-	-3.28225940495413	0.767786145606246	236	85	2.81094679538312e-5	6.9225953351753e-4	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
RBG.13.54.9_Genus	Treatment	A+ T+ P-	0.537998037443006	0.126628218641859	236	5	3.13493225741267e-5	7.6509292660638e-4	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
Sphaerotilus	Treatment	A+ T+ P+	-2.73877682871816	0.645691412018052	236	49	3.22724137262893e-5	7.7368113968599e-4	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
