gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
42sp43	50.905531287075185	5.09301823156602	2.480810224913756	2.0529656724319074	0.040075906894006454	0.10315612593484758
a1cf	11037.242562329417	-0.864330851070351	0.2694321472681714	-3.2079722476845522	0.00133674397000152	0.007067166951828785
a2m2a	396.15509696560036	0.08170107044164025	0.3870045303014479	0.21111140579672585	0.8328003402635684	0.9056021870381409
a2m2b	682.7470377694865	-0.9726472516551353	1.2318555259856643	-0.7895789978105391	0.42977367767247626	0.5966116454648193
a2m2c	637.5604709957114	-0.1024033160164766	1.140708708371989	-0.08977166148106809	0.9284686681030876	0.9597983665698351
a2m2d	4878.544515688093	0.6386968042806729	1.2704468920708616	0.5027339657146789	0.6151513259511554	0.7530964155207327
a2m2e	1632.9553326799307	-0.46572612990652024	1.182185097818644	-0.3939536463163623	0.6936152623242476	0.8094309219986056
a2m2f	956.4395521952239	1.9378905971647975	1.3003064819854337	1.490333720559355	0.13613651031148152	0.2620026491336328
a2m2h	3424.4590304856956	0.4378890593146041	1.2357996871131498	0.3543365999205913	0.7230866419540349	0.8312125019770906
a2m3a	58.93307434917669	0.03373368158291544	2.428750342823102	0.013889316241415116	0.9889182853133446	0.9936558170723807
a2m3b	79.31094634301962	0.18563235044896848	2.0249818619393616	0.09167111762234997	NA	NA
a2m3d	30.55664107738387	-2.1080351521964595	1.9450886360167803	-1.0837733114894788	0.2784653212193926	0.44030457511087834
a2m3f	84.59068694222583	0.3451596042796768	2.318464155872198	0.14887424651593503	0.8816528630282202	0.9347781578597091
a2m3g	114.91084324530877	-0.18037156123635778	1.864762415759173	-0.09672629591417725	0.922943756621558	0.9577490733697861
a2m3h	228.11189470342438	-1.8649268322830594	2.573368875566207	-0.7247024901833119	0.4686345671171511	0.6314405283880352
aaas	231.08782331787188	1.378591750354532	0.20086069633160675	6.863422140479763	6.723017488407552e-12	8.141574178461545e-10
aacs	3103.7479296422084	-0.2690506151934264	0.5457082291099943	-0.49303015941728795	0.6219912773943824	0.758092145386191
aadac	81.3986481708314	-1.207071950941236	0.3114637838698301	-3.875480917697022	1.0641431940067095e-4	9.015438656385237e-4
aadacl4	35.53559387256854	-3.610126474950031	0.8437799358585324	-4.278516614971161	1.8814294830972912e-5	2.1796842300801314e-4
aadat	299.09977051575794	-0.03603111283036682	0.24241487473374423	-0.14863408390240698	0.8818423766670109	0.9349309407994517
aagab	310.2632268271566	0.17124389710728857	0.14602851213508816	1.172674394907716	0.2409264032331117	0.3965740675909547
aak1a	136.99836275483062	0.4822113253353991	0.29504439599331295	1.6343686980122416	0.10218145674584192	0.2112694235238172
aak1b	146.00830374656854	0.31405304684075114	0.19868523839561153	1.5806561643770702	0.11395667641187562	0.22982230576913046
aamdc	381.13818552895316	-0.33526484811857526	0.2515697612695021	-1.3326913633288866	0.18263310868336247	0.32451819510308844
aamp	1126.3248322815864	-0.30589082813279705	0.1792109268965816	-1.7068759892599596	0.08784510452534249	0.18834275847357068
aar2	264.6725329669018	0.14088997714592355	0.19806244660771727	0.7113411934417352	0.47687283065519215	0.6393678059167857
aars1	3107.974703168837	-0.4615011961493199	0.2023120246403868	-2.2811357702027175	0.02254041404693983	0.0668886147667974
aars2	122.93931788441982	0.7075440854127785	0.20483383661548762	3.4542344033763053	5.518574914951662e-4	0.0034337679477676078
aarsd1	226.73199795025334	1.141377843104968	0.24588711173591343	4.641877465830032	3.4525759820181537e-6	5.287461067904558e-5
aasdh	19.896137682634922	-0.08960097552217597	0.4670724081419407	-0.19183529996690948	0.8478712190852733	0.9147429403264082
aasdhppt	68.48466180847652	-0.48830391772442955	0.239217017700501	-2.0412591144990557	0.04122507866348193	0.10548107064940374
aass	255.9890191228328	-0.35903266137929385	0.3916103469001017	-0.9168109684060051	0.35924170401045297	0.5270977806616204
aatf	280.49630777990404	1.0521350280076267	0.2721601347240069	3.8658675307997603	1.1069501229257562e-4	9.309143047660351e-4
aatka	380.1177446277375	-0.3318162748471107	0.32226787741251867	-1.0296287595004996	0.3031843094054076	0.4687335068886397
aatkb	50.49867706721373	0.34033734024373163	0.41008652264915446	0.8299159358984931	0.40658631422951147	0.5743767550293661
abat	13941.002930007777	-0.7478253144214375	0.2036216790180947	-3.672621294685339	2.4007513561456688e-4	0.0017360122293280957
abca12	175.06183340817861	1.5114645749245164	0.8211705415632513	1.8406220126298753	0.06567696963316852	0.15093679100670243
abca1a	1330.7917589693795	-0.9569414620151838	0.46413401902663154	-2.061778328643209	0.039228845219545894	0.10149607094819546
abca1b	1482.8640090816987	-1.22960145308052	0.4629030629118608	-2.6562828194434362	0.007900732307354018	0.029310634519348552
abca2	969.4415400068588	-0.403435990935374	0.2581485023929995	-1.5628058547525179	0.11809826668670174	0.23572707158029171
abca3b	1259.8718385340571	-0.837295366142813	0.21329387577789308	-3.925548087534892	8.653248026874585e-5	7.629311226092809e-4
abca5	528.190859986573	-1.026740110455997	0.2058445942906982	-4.987938177312601	6.102708973397719e-7	1.247631277411508e-5
abca7	80.65564577365133	0.18531327300046146	0.29287440902854894	0.6327397249050783	0.5269036238114058	0.6820955104952154
abcb10	348.3565620638323	0.5852335825309634	0.252119068404573	2.3212587061913332	0.02027288545788403	0.06161173500464401
abcb11a	2680.531752691202	-1.3805603106582087	0.6565557534397019	-2.102731266043196	0.03548926733314392	0.09422459976624116
abcb11b	725.4427221065592	-1.5488159035835412	1.2329027316585242	-1.2562352761600621	0.20903068045647655	0.3583706377879316
