feature	Oleiharenicola	Halomonas	Hyphomicrobiales_Incertae_Sedis_Genus	Pseudorhodoplanes	Pedosphaeraceae_Genus	Parachlamydiaceae_Genus	Fluviicoccus	Dechloromonas	Rickettsiaceae_Genus	Rhodovarius	Chitinophagales_Genus	Culicoidibacter	Mycobacterium	Clostridium	SWB02	Noviherbaspirillum	Crenobacter	Blfdi19_Genus	Streptococcus	Paracaedibacteraceae_Genus	Lutispora	Beijerinckiaceae_Genus	Piscinibacter	Nitrospira	Rhodococcus	Frankiales_Genus	Pseudobdellovibrionaceae_Genus	Phaselicystis	Pedomicrobium	Reyranella	JGI_0001001.H03	Candidatus_Bealeia	Luteolibacter	Babeliaceae_Genus	Micrococcus	Arthrobacter	Sphingorhabdus	SH.PL14	env.OPS_17_Genus	Lysobacter	Luteimonas	Terrimonas	Leuconostoc	Acinetobacter	Rubrivivax	Aeromonas	Larkinella	Burkholderia.Caballeronia.Paraburkholderia	Fimbriimonadaceae_Genus	Brevifollis	Pajaroellobacter	IS.44	Bacteroidia_Genus	Sphaerotilus	Pseudomonas	Brevibacterium	Kocuria	Marmoricola	NS9_marine_group_Genus	Hyphomicrobium	Cytophaga	Gracilibacteria_Genus	Verrucomicrobiaceae_Genus	Candidatus_Protochlamydia	Armatimonadaceae_Genus	Microscillaceae_Genus	Fimbriiglobus	Paludibaculum	Xanthobacteraceae_Genus	Vampirovibrionaceae_Genus	Flavobacterium	Gammaproteobacteria_Genus	Devosia	Saprospiraceae_Genus	Peptostreptococcus	Leeia	Chlamydiales_Genus	Emticicia	Phreatobacter	Microtrichaceae_Genus	Ensifer	Novispirillum	Haliangiaceae_Genus	Paucibacter	Telmatocola	Paracoccaceae_Genus	Nocardia	Paenirhodobacter	Nitrosomonas	Novosphingobium	Comamonadaceae_Genus	Candidatus_Berkiella	Pseudobdellovibrio	Chitinibacter	Sphingomonas	Gemmataceae_Genus	Polyangiia_Genus	P3OB.42	A21b_Genus	Cetobacterium	Deinococcus	Shinella	Sutterellaceae_Genus	Fluviicola	Legionella	Exiguobacterium	Burkholderiales_Genus	AAP99	SM2D12_Genus	Chitinilyticum	Vibrio	Roseomonas	Candidatus_Ovatusbacter	Shewanella	Bryobacteraceae_Genus	Caulobacter	Tetragenococcus	Abditibacterium	Chitinivorax	Stagnimonas	Neochlamydia	Sandaracinaceae_Genus	Leucobacter	Chryseotalea	Ga0077536_Genus	Verrucomicrobiia_Genus	Phenylobacterium	Opitutaceae_Genus	Anaerovorax	Micavibrionales_Genus	X37.13_Genus	Microtrichales_Genus	Paracoccus	Sphingopyxis	Cytophagales_Genus	Kinneretia	Rhizorhapis	cvE6_Genus	Pir4_lineage	mle1.27_Genus	Methylibium	IMCC26207	Polymorphobacter	Dyadobacter	Aquihabitans	Brevundimonas	Agromyces	LiUU.11.161_Genus	Undibacterium	Stella	Neisseriaceae_Genus	TM7a	Caedibacter	X0319.6G20_Genus	JG30.KF.CM45_Genus	Parvibium	Pseudolysobacter	Arthrospira_PCC.7345	Citrobacter	Dinghuibacter	Chryseobacterium	Glutamicibacter	Rhizobium	Sediminibacterium	Candidatus_Megaira	alphaI_cluster	Runella	Chitinophagaceae_Genus	NS11.12_marine_group_Genus	Dietzia	Cellvibrio	Candidatus_Alysiosphaera	Gemmatimonas	TRA3.20_Genus	Aquicella	KD4.96_Genus	Curvibacter	Brucella	Gemmata	CM1G08	Bradyrhizobium	Aerococcus	Staphylococcus	Vicinamibacteraceae_Genus	Flavihumibacter	Kineosporiaceae_Genus	Candidatus_Paracaedibacter	Rhodospirillales_Genus	Thermodesulfobacteriota_Genus	Rhizorhabdus	Bdellovibrio	BIrii41_Genus	Kapabacteriales_Genus	SH3.11	Dechlorobacter	Aeromicrobium	CL500.3	Ruminiclostridium	Nocardioides	Aquabacterium	Sphingomonadaceae_Genus	Pyrinomonadaceae_Genus	Nevskiaceae_Genus	Holosporaceae_Genus	Acetobacteroides	Variovorax	Candidatus_Obscuribacter	Oscillospiraceae_Genus	Bosea	bacteriap25_Genus	Oligoflexaceae_Genus	Pirellula	Babeliales_Genus	Weeksellaceae_Genus	X67.14_Genus	Malacoplasma	Blastomonas	PeM15_Genus	Cypionkella	OM190_Genus	Cloacibacterium	Paraconexibacter	Defluviimonas	Rhodovastum	Massilia	Parageobacillus	X11.24_Genus	Thermomicrobiales_Genus	Gordonia	Fuscovulum	Paraclostridium	Pseudomonadales_Genus	Methylorubrum	Gemmobacter	MBNT15_Genus	Blastocatella	Brevitalea	Rhizobiaceae_Genus	Spirosomataceae_Genus	Sporichthyaceae_Genus	Gemmatimonadaceae_Genus	Rhodocyclaceae_Genus	Weissella	Stenotrophomonas	Planococcus	Simkaniaceae_Genus	Azospira	Hirschia	Plesiomonas	Agitococcus	OLB12	Thermus	Rheinheimera	Sporomusaceae_Genus	Chitinimonas	Raineya	Barnesiellaceae_Genus	Hydrogenophaga	NB1.j_Genus	Acidovorax	Pirellulaceae_Genus	Altererythrobacter	Rhodopseudomonas	Bacillus	Mesorhizobium	Hyphomicrobiales_Genus	Hassallia	Gaiellales_Genus	Nannocystis	WY65	Chthoniobacter	Eremiobacteria_Genus	Turneriella	Permianibacter	Hyphomonadaceae_Genus	Pseudoduganella	Lactococcus	Nordella	Delftia	Sandaracinus	Steroidobacter	Elstera	Longivirga	Latilactobacillus	Serinicoccus	Roseicella	Marinomonas	Tundrisphaera	IMCC26134	Parcubacteria_Genus	Vogesella	Ferruginibacter	Flectobacillus	Desulfotomaculum	Obscuribacteraceae_Genus	Peptostreptococcaceae_Genus	Romboutsia	Opitutus	Bryobacter	Sphingobium	AKYH767_Genus	Bordetella	Haliscomenobacter	Panacibacter	Pseudoxanthomonas	Niveibacterium	Blastococcus	Elsteraceae_Genus	SM1A02	Perlucidibaca	Coxiella	Polyangiaceae_Genus	Aurantisolimonas	Anaerotaenia	Limosilactobacillus	CL500.29_marine_group
f76	0	0	0	0	0	0	0	0	0	0	0	5347	18	0	0	0	2165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	16260	0	0	0	0	0	0	0	0	658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	30	0	0	0	0	0	0	60	0	11	0	0	1211	0	233	0	74	0	0	0	0	0	0	0	7	0	0	0	21931	0	0	0	0	0	0	0	0	0	1723	0	23	0	438	0	0	0	0	0	0	0	0	0	3	0	9	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1032	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f77	0	0	0	0	10	0	0	129	0	0	0	2704	39	13	0	0	3834	0	0	0	0	0	0	0	0	0	0	0	14	3	0	0	0	0	0	0	0	8	32	0	58	0	0	0	0	23038	0	0	0	0	0	0	67	115	1250	0	0	0	0	0	10	0	0	0	0	0	25	0	0	0	124	216	0	18	0	0	0	7	187	0	26	0	117	2251	11	618	0	314	24	0	12	0	0	0	0	18	3	0	0	8143	0	0	12	37	26	0	0	0	0	876	0	57	0	320	0	0	0	0	0	0	8	0	0	49	0	21	0	0	0	0	0	0	0	0	368	0	0	3	0	0	0	0	0	0	16	0	358	0	43	0	0	0	0	0	3	0	3	0	0	0	0	0	41	15	0	0	0	0	0	0	111	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	5	0	62	0	0	16	0	0	0	12	0	0	19	22	0	0	0	0	0	0	0	0	0	30	0	2	0	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	365	15	0	0	8	0	0	0	0	0	0	12	0	0	23	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	111	0	0	0	9	0	370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0	10	0	4	0	0	0	0	28	0	0	0
f78	0	0	0	0	0	0	0	0	0	0	0	5303	31	0	0	0	845	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	26053	0	0	0	0	0	0	0	0	497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	121	0	0	0	0	0	0	175	0	13	0	0	2875	0	402	0	343	0	0	0	0	0	0	0	7	0	0	0	17466	0	0	0	65	21	0	0	0	0	263	0	23	0	159	0	0	0	0	0	0	7	0	0	0	0	20	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	357	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	12	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0
f79	0	0	0	0	0	0	0	0	0	0	0	8101	23	0	0	0	6997	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	10369	0	0	0	0	0	0	0	0	987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	249	0	0	0	0	0	0	158	0	29	0	0	6266	0	698	0	167	0	0	0	0	0	0	0	20	0	0	0	16126	0	0	0	107	25	0	0	0	0	313	0	28	0	103	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	134	0	0	7	0	0	0	0	0	0	0	0	841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	34	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	11	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2784	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
f80	7	0	37	0	261	0	0	1680	0	0	0	2197	449	528	0	0	1928	0	5	0	0	0	0	28	0	0	77	7	22	9	0	0	0	0	0	0	82	36	178	0	25	16	0	0	0	23891	0	0	0	9	0	0	115	140	1472	0	0	0	0	0	57	18	0	0	0	0	65	0	0	0	378	201	22	117	0	0	0	8	342	0	72	0	662	1778	22	927	41	227	40	0	141	0	3	0	0	54	28	0	0	9539	12	0	36	113	112	0	5	0	0	563	13	53	0	156	0	11	0	0	0	0	0	15	0	655	0	26	0	0	0	0	0	0	0	0	2700	0	0	0	2	0	0	0	0	0	37	0	284	0	333	0	0	0	0	5	3	0	0	0	0	153	0	0	138	71	0	0	43	0	0	0	93	0	0	0	0	0	0	0	19	0	81	0	0	6	0	0	4	0	0	0	153	7	5	0	0	0	0	0	0	49	0	0	0	7	0	0	87	0	57	0	0	22	0	0	4	21	0	0	0	85	55	0	0	0	0	0	9	0	160	38	0	0	0	459	0	7	0	59	0	0	0	0	0	0	0	0	0	8	257	272	13	0	5	110	0	0	0	0	0	25	0	0	0	0	0	0	11	0	0	9	0	9	11	0	0	0	0	10	0	0	0	1398	4	0	0	0	0	442	0	0	0	0	2	0	16	0	0	0	0	0	0	0	252	0	0	146	0	0	0	0	0	0	127	0	0	0
f106	0	21	207	21	176	7	0	673	0	27	0	657	1085	108	0	0	1856	0	0	0	0	0	0	0	0	7	146	0	30	22	0	0	0	0	0	0	0	8	2157	0	0	0	0	18	577	37891	0	0	0	0	0	0	0	0	5677	0	0	0	0	0	0	0	0	49	0	7	15	0	0	151	256	271	31	0	0	0	0	0	458	0	114	0	0	1871	0	1779	113	442	0	0	456	0	0	0	0	162	0	0	0	4182	0	0	615	428	159	0	0	0	0	202	0	60	0	551	0	0	0	0	4	0	0	0	7	101	0	33	0	0	0	0	0	64	0	0	6	0	0	0	70	0	0	38	96	0	234	0	0	0	0	0	0	0	0	54	7	0	0	0	0	125	0	0	23	0	22	10	0	0	0	0	244	8	0	0	0	0	0	0	32	0	32	0	0	0	17	0	0	0	0	0	201	0	0	133	0	0	0	0	0	0	0	0	0	0	14	0	15	0	45	0	0	44	0	0	165	19	0	7	0	0	0	0	0	25	0	0	0	0	86	105	0	0	0	237	0	0	0	112	0	0	0	561	0	0	3	0	86	0	25	0	0	0	0	0	0	0	0	0	0	0	25	0	47	0	8	7	0	0	0	0	11	0	0	0	0	0	10	0	0	0	0	0	77	0	0	5	0	412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	322	0	0	0	0	0	0	254	0	0	0
f107	0	0	7	0	0	0	0	183	0	0	0	149	97	0	0	0	559	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	44	0	0	0	0	8	21	83511	0	0	0	0	0	0	0	0	4039	0	0	0	0	0	0	0	0	0	0	0	8	0	0	6	34	17	0	0	0	0	0	0	42	0	14	6	0	563	0	91	0	28	0	0	133	0	0	0	0	0	0	0	0	380	0	0	51	20	0	0	7	0	0	89	0	0	0	174	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	15	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	7	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	3	0	0	0	13	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272	0	0	0	0	0	0	29	0	0	0
f108	0	0	77	0	19	2	0	176	0	6	0	247	106	5	0	0	1125	0	0	0	0	0	0	0	0	0	20	0	0	2	0	0	0	0	0	0	0	4	263	0	0	0	0	10	157	58065	0	0	0	0	0	0	0	0	1706	0	0	0	0	0	0	0	0	6	0	4	0	0	0	0	111	38	0	0	0	0	0	0	86	0	18	3	0	223	0	306	8	95	0	0	71	0	0	0	0	0	0	0	0	4016	0	0	135	52	9	0	0	0	0	92	0	14	0	371	0	0	0	0	4	0	0	0	0	9	0	12	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	15	0	27	0	0	0	0	0	0	0	0	8	3	0	0	35	0	42	0	0	0	0	7	0	0	0	0	0	29	0	0	0	0	0	0	0	12	0	23	0	0	0	0	0	0	0	0	0	27	0	0	9	0	0	0	0	0	0	0	0	0	0	36	0	0	0	9	0	0	23	0	0	15	9	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	21	0	0	0	107	0	0	0	0	33	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	12	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	77	0	0	0
f109	0	0	0	0	0	0	0	60	0	0	0	66	17	0	0	0	547	0	71	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	11	16	71459	0	0	0	0	0	0	0	0	1448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	10	0	0	0	0	0	0	9	0	0	2	0	298	0	70	0	0	0	0	88	0	0	0	0	0	0	0	0	773	0	0	64	6	41	0	0	0	0	59	237	0	0	117	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	5	0	0	0	0	0	0	0	0	0
f110	0	3	0	0	0	0	0	41	0	0	0	132	0	0	0	0	1710	0	24	0	0	0	0	9	25	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	62793	0	0	0	0	0	0	0	0	1569	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	143	2	0	0	0	0	0	0	19	0	9	3	6	246	0	82	0	10	0	0	76	0	0	0	0	0	0	0	0	998	0	0	72	7	0	0	0	0	2	56	0	0	0	737	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	5	0	0	0	7	0	0	0	0	0	0	0	0	28	0	0	0	0	0	3	0	0	0	0	0	0	25	0	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	7	0	0	0	0	0	5	7	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	26	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	15	0	0	29	0	0	0	0	0	0	0	0	0	0	0	20	0	0	76	0	0	0	0	0	0	26	0	0	0
f138	7	0	1423	19	135	3	0	890	0	21	0	17	222	96	0	0	536	0	0	0	0	0	0	8	0	0	102	0	13	0	0	0	53	0	0	0	0	42	437	0	133	0	0	292	117	32191	62	0	0	29	42	0	173	0	22817	0	0	0	25	0	6	0	0	0	0	35	21	0	0	13	88	65	40	23	0	0	12	0	225	0	257	0	692	393	18	623	155	125	41	4	282	0	0	0	0	101	0	6	0	255	0	12	50	30	92	0	0	0	0	51	0	87	0	20	0	0	0	0	11	0	15	2	0	168	0	0	0	0	0	0	0	0	0	0	1264	0	0	12	53	0	0	9	56	0	95	0	0	5	0	0	18	0	0	47	4	0	0	0	27	51	0	0	25	13	27	34	8	0	0	0	65	0	0	0	0	0	39	0	19	0	54	0	0	0	16	0	0	0	0	0	33	0	25	72	41	0	0	0	0	126	0	9	0	0	6	0	10	0	181	0	10	0	0	0	49	8	0	24	0	39	0	0	0	70	0	0	0	0	0	199	0	0	0	135	0	0	0	56	44	3	0	77	0	0	0	0	50	0	11	21	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	6	0	0	0	5	0	0	0	0	0	0	88	42	0	0	5	0	314	0	0	571	0	0	0	0	14	0	6	0	0	0	0	314	0	10	645	0	0	0	0	0	0	89	0	0	0
f139	0	0	1346	14	62	0	0	269	0	14	0	0	112	83	0	0	99	0	15	0	0	0	0	0	0	0	42	0	0	9	0	0	70	0	0	0	0	58	10	0	3	0	0	283	0	51648	0	0	0	7	0	0	0	0	11460	0	0	0	6	0	0	0	0	0	0	28	0	0	0	22	12	37	23	0	0	0	18	0	116	0	126	0	5	163	0	248	22	74	0	0	104	0	0	0	0	37	0	0	0	205	0	0	0	0	57	0	0	0	0	40	6	81	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	13	30	0	0	22	23	0	22	0	0	0	0	0	69	0	0	18	9	0	0	0	13	25	0	0	15	0	7	23	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	8	0	0	0	0	0	0	0	0	110	0	0	3	0	0	25	9	0	16	0	0	0	0	0	48	0	0	0	0	0	56	0	0	0	74	0	0	0	10	0	3	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	13	0	0	5	0	190	0	0	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235	0	0	0	0	0	0	19	0	0	0
f140	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	15	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	16	0	0	0	0	0	1124	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0	0	0	0	0	0	0	0	0	2	2923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	7	84	0	0	0	43	0	9	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	118	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	11	0
f166	2	8	34	0	18	0	0	8	0	0	0	382	31	0	0	0	639	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	8	0	0	0	0	0	14	0	0	0	0	14	0	18566	0	0	0	27	0	0	36	0	681	0	0	0	0	0	0	0	0	5	0	0	0	0	0	57	110	51	9	5	0	0	0	21	66	0	0	0	3	117	0	89	13	0	2	2	7	0	0	0	0	43	0	0	0	29399	0	0	10	29	7	0	0	0	0	33	0	6	0	1321	0	0	0	0	0	0	0	0	0	21	0	14	0	0	0	0	0	0	0	0	85	0	0	4	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	7	0	0	0	0	0	9	6	0	0	0	2	0	0	0	4	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	2	0	0	6	0	9	0	0	9	0	0	0	0	0	0	0	0	0	0	0	16	0	0	8	0	0	0	0	0	0	0	0	0	0
f167	0	14	12	0	0	0	0	0	0	0	0	437	84	5	0	0	510	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	5	19	29870	0	0	0	0	0	0	0	0	1279	0	0	0	0	0	0	0	0	4	0	0	0	0	0	117	249	70	0	0	0	0	8	0	171	0	0	0	0	120	0	119	20	0	0	0	0	0	0	0	0	123	0	0	0	31390	0	0	9	94	8	0	0	0	0	93	0	24	0	1039	0	0	0	0	0	0	0	0	0	27	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	3	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	4	0	0	0	0	0	12	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0
f168	0	0	0	0	3	0	0	0	0	0	0	366	32	0	0	0	510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	48248	0	0	0	0	0	0	0	0	2296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	162	23	0	0	0	0	0	0	60	0	0	0	7	105	0	90	8	0	0	0	0	3	0	18	0	26	0	0	0	3524	0	0	0	25	0	0	0	0	0	37	0	0	0	802	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	19	0	0	0	0	0	0	0	0	2	0	10	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f169	0	6	0	0	0	0	0	0	0	0	0	117	30	0	0	0	431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	15066	0	0	0	0	0	0	0	0	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	94	4	0	0	0	0	0	0	49	0	0	0	0	70	0	60	4	0	0	0	0	0	0	18	0	22	0	0	0	25316	0	0	9	18	5	0	0	0	0	52	0	0	0	767	0	0	0	0	0	0	0	0	0	7	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
